wave,state,lnLP,FSTS,FSTSsq,TCI_full,DAI_core,DAI_epay,lnEmp,firmage,foreigndummy,sample_base,sample_full,wave_2022,wave_2025,trend,trend2
2014,1,13.815510557964274,0.0,0.0,-0.1733669951820669,1.0,,3.4011973816621555,11.0,0.0,True,True,0,0,0,0
2014,1,,0.0,0.0,2.063712020855144,1.0,,3.258096538021482,4.0,1.0,False,False,0,0,0,0
2014,1,11.473704751816948,0.0,0.0,2.063712020855144,1.0,,5.049856007249537,10.0,0.0,True,True,0,0,0,0
2014,1,13.42984807715229,0.0,0.0,-0.1733669951820669,1.0,,3.2188758248682006,39.0,0.0,True,True,0,0,0,0
2014,1,12.803909646285794,0.0,0.0,2.063712020855144,1.0,,4.700480365792417,24.0,0.0,True,True,0,0,0,0
2014,1,13.85633255248453,0.0,0.0,2.063712020855144,1.0,,3.1780538303479458,12.0,0.0,True,True,0,0,0,0
2014,1,12.186270018233994,0.0,0.0,-0.1733669951820669,1.0,,4.624972813284271,4.0,0.0,True,True,0,0,0,0
2014,1,13.027053197600004,0.0,0.0,-0.1733669951820669,1.0,,4.700480365792417,5.0,0.0,True,True,0,0,0,0
2014,1,,0.0,0.0,2.063712020855144,1.0,,3.8501476017100584,9.0,0.0,False,False,0,0,0,0
2014,1,13.884503429451225,0.0,0.0,2.063712020855144,1.0,,3.5553480614894135,11.0,0.0,True,True,0,0,0,0
2014,1,11.850731924604577,0.0,0.0,2.063712020855144,1.0,,4.672828834461906,14.0,0.0,True,True,0,0,0,0
2014,1,12.206072645530174,0.0,0.0,0.9451725128365384,1.0,,3.5553480614894135,12.0,0.0,True,True,0,0,0,0
2014,1,13.276514057231587,0.0,0.0,0.9451725128365384,1.0,,4.787491742782046,18.0,0.0,True,True,0,0,0,0
2014,1,12.750799820971846,0.0,0.0,-0.1733669951820669,1.0,,4.060443010546419,10.0,0.0,True,True,0,0,0,0
2014,1,12.360223325357433,0.0,0.0,2.063712020855144,1.0,,3.4011973816621555,1.0,0.0,True,True,0,0,0,0
2014,1,11.999058476145848,0.0,0.0,0.9451725128365384,1.0,,4.812184355372417,8.0,0.0,True,True,0,0,0,0
2014,1,12.679510737224543,0.0,0.0,0.9451725128365384,1.0,,4.6913478822291435,10.0,0.0,True,True,0,0,0,0
2014,1,13.527828485512494,0.0,0.0,0.9451725128365384,1.0,,4.787491742782046,12.0,0.0,True,True,0,0,0,0
2014,1,12.110762465725848,0.0,0.0,-0.1733669951820669,1.0,,4.700480365792417,28.0,0.0,True,True,0,0,0,0
2014,1,12.55437933979839,0.0,0.0,2.063712020855144,1.0,,2.4849066497880004,2.0,0.0,True,True,0,0,0,0
2014,2,14.914122846632385,0.0,0.0,0.9451725128365384,0.0,,4.0943445622221,9.0,0.0,True,True,0,0,0,0
2014,4,15.538277155705378,0.0,0.0,0.9451725128365384,0.0,,3.912023005428146,7.0,0.0,True,True,0,0,0,0
2014,4,11.646456857594751,0.0,0.0,-0.1733669951820669,0.0,,3.5553480614894135,4.0,0.0,True,True,0,0,0,0
2014,4,11.650946762867603,0.0,0.0,-0.1733669951820669,0.0,,2.302585092994046,5.0,0.0,True,True,0,0,0,0
2014,4,15.579099150225632,0.0,0.0,0.9451725128365384,0.0,,4.787491742782046,5.0,0.0,True,True,0,0,0,0
2014,4,12.206072645530174,0.0,0.0,0.9451725128365384,1.0,,5.0106352940962555,4.0,0.0,True,True,0,0,0,0
2014,4,15.114793542094535,0.0,0.0,-0.1733669951820669,1.0,,5.0106352940962555,16.0,0.0,True,True,0,0,0,0
2014,4,14.947170700678583,0.0,0.0,0.9451725128365384,0.0,,3.2188758248682006,22.0,0.0,True,True,0,0,0,0
2014,4,14.476569812171402,0.0,0.0,-0.1733669951820669,0.0,,4.248495242049359,29.0,0.0,True,True,0,0,0,0
2014,4,12.611537753638338,0.0,0.0,0.9451725128365384,0.0,,5.298317366548036,14.0,0.0,True,True,0,0,0,0
2014,4,14.954944841152638,0.0,0.0,-0.1733669951820669,0.0,,2.772588722239781,9.0,0.0,True,True,0,0,0,0
2014,4,14.796339810976,0.0,0.0,-0.1733669951820669,0.0,,3.4011973816621555,4.0,0.0,True,True,0,0,0,0
2014,4,12.765688433465597,0.0,0.0,0.9451725128365384,1.0,,5.298317366548036,8.0,0.0,True,True,0,0,0,0
2014,4,16.045524958123483,0.0,0.0,-0.1733669951820669,1.0,,6.214608098422191,23.0,0.0,True,True,0,0,0,0
2014,4,12.716898269296165,0.0,0.0,-0.1733669951820669,0.0,,3.4011973816621555,10.0,0.0,True,True,0,0,0,0
