wave,lnLP,FSTS,FSTSsq,TCI_full,DAI_core,DAI_epay,lnEmp,firmage,foreigndummy,sample_base,sample_full
2022,12.43101637734853,0.0,0.0,-0.6168149947933788,0.0,,4.709530201312334,23.0,0.0,True,True
2022,14.422078995207873,0.0,0.0,-0.6168149947933788,1.0,,3.4011973816621555,17.0,0.0,True,True
2022,15.424948470398375,0.95,0.9025,0.8116200598376241,1.0,,5.480638923341991,14.0,0.0,True,True
2022,14.662808418351478,0.0,0.0,-0.6168149947933788,0.0,,2.70805020110221,4.0,0.0,True,True
2022,13.84368143493097,0.0,0.0,2.240055114468627,1.0,,4.248495242049359,17.0,0.0,True,True
2022,14.152663515223566,0.0,0.0,0.8116200598376241,1.0,,2.70805020110221,67.0,0.0,True,True
2022,12.955309292741163,0.0,0.0,-0.6168149947933788,1.0,,4.867534450455582,24.0,0.0,True,True
2022,15.201804919084164,0.0,0.0,-0.6168149947933788,1.0,,2.302585092994046,17.0,0.0,True,True
2022,15.55011161335238,0.0,0.0,-0.6168149947933788,0.0,,5.3471075307174685,27.0,0.0,True,True
2022,17.359808783267102,,,1.2877650780479581,1.0,,3.258096538021482,36.0,0.0,False,False
2022,12.562747589468906,0.0,0.0,-0.6168149947933788,1.0,,3.5553480614894135,24.0,0.0,True,True
2022,15.702580206996654,0.0,0.0,-0.6168149947933788,1.0,,3.2188758248682006,27.0,0.0,True,True
2022,16.783871634722132,0.0,0.0,0.8116200598376241,1.0,,5.521460917862246,33.0,0.0,True,True
2022,14.508657738524219,0.0,0.0,-0.6168149947933788,1.0,,2.995732273553991,16.0,0.0,True,True
2022,13.681979165339751,0.0,0.0,-0.6168149947933788,0.0,,2.0794415416798357,27.0,0.0,True,True
2022,15.75546012082551,0.0,0.0,3.66849016909963,1.0,,4.8283137373023015,16.0,0.0,True,True
2022,15.931270819627144,0.3,0.09,0.8116200598376241,1.0,,7.090076835776092,37.0,0.0,True,True
2022,13.269388732288999,0.0,0.0,-0.6168149947933788,0.0,,2.4849066497880004,15.0,0.0,True,True
2022,14.383494595570214,0.0,0.0,0.8116200598376241,1.0,,2.833213344056216,25.0,0.0,True,True
2022,15.201804919084164,0.0,0.0,-0.6168149947933788,1.0,,5.41610040220442,25.0,1.0,True,True
2022,13.227723893062155,0.0,0.0,-0.6168149947933788,1.0,,4.499809670330265,23.0,0.0,True,True
2022,13.54980739223127,0.0,0.0,-0.6168149947933788,0.0,,2.4849066497880004,17.0,0.0,True,True
2022,14.827111469642754,0.0,0.0,-0.6168149947933788,0.0,,5.298317366548036,27.0,0.0,True,True
2022,13.633189001170319,0.0,0.0,-0.6168149947933788,1.0,,2.4849066497880004,10.0,0.0,True,True
2022,14.508657738524219,0.0,0.0,-0.6168149947933788,0.0,,1.6094379124341003,24.0,0.0,True,True
2022,12.647099425260048,0.0,0.0,-0.6168149947933788,0.0,,4.454347296253507,16.0,0.0,True,True
2022,13.460499345535489,0.2,0.04000000000000001,0.8116200598376241,1.0,,5.3706380281276624,18.0,0.0,True,True
2022,14.78309458422598,0.0,0.0,-0.6168149947933788,1.0,,2.9444389791664403,55.0,0.0,True,True
2022,14.530745334988223,0.0,0.0,-0.6168149947933788,1.0,,2.4849066497880004,43.0,0.0,True,True
2022,13.815510557964274,0.8,0.6400000000000001,0.8116200598376241,1.0,,3.912023005428146,27.0,0.0,True,True
2022,14.679805994720049,0.0,0.0,2.240055114468627,0.0,,2.70805020110221,33.0,0.0,True,True
2022,13.227723893062155,0.0,0.0,-0.6168149947933788,1.0,,4.499809670330265,38.0,0.0,True,True
2022,16.88622936567529,0.2,0.04000000000000001,3.66849016909963,1.0,,4.007333185232471,14.0,0.0,True,True
2022,13.852289809467571,0.0,0.0,-0.6168149947933788,1.0,,5.849324779946859,21.0,0.0,True,True
2022,15.355955598911423,0.0,0.0,-0.6168149947933788,0.0,,2.70805020110221,13.0,0.0,True,True
2022,12.834681304952548,0.0,0.0,-0.6168149947933788,0.0,,2.995732273553991,49.0,0.0,True,True
2022,15.648092021712584,0.0,0.0,-0.6168149947933788,1.0,,2.0794415416798357,18.0,0.0,True,True
2022,14.914122846632385,0.0,0.0,-0.6168149947933788,0.0,,4.941642422609304,33.0,0.0,True,True
2022,14.874799325093726,0.0,0.0,1.2877650780479581,1.0,,3.7612001156935624,15.0,0.0,True,True
