wave,state,lnLP,FSTS,FSTSsq,TCI_full,DAI_core,DAI_epay,lnEmp,firmage,foreigndummy,sample_base,sample_full
2025,12,12.45528517501065,0.0,0.0,-0.4720619403338053,1.0,0.65,4.143134726391533,37.0,0.0,True,True
2025,5,14.73180128983843,0.0,0.0,-0.4720619403338053,0.0,0.9,1.6094379124341003,26.0,0.0,True,True
2025,13,15.137266397946593,0.0,0.0,-0.4720619403338053,0.0,0.7,3.6888794541139363,4.0,0.0,True,True
2025,13,14.580978400103845,0.0,0.0,-0.4720619403338053,0.0,0.4,4.0943445622221,33.0,0.0,True,True
2025,13,15.379828035117905,0.0,0.0,-0.4720619403338053,0.0,0.7,4.912654885736052,20.0,0.0,True,True
2025,13,14.57319625966179,0.0,0.0,-0.4720619403338053,1.0,0.6,4.31748811353631,15.0,0.0,True,True
2025,13,14.557447902693651,0.0,0.0,-0.4720619403338053,0.0,0.5,3.6888794541139363,8.0,0.0,True,True
2025,13,15.725053062848712,0.0,0.0,1.2290168329667261,1.0,0.95,3.6888794541139363,6.0,0.0,True,True
2025,13,15.553202805922053,0.0,0.0,-0.4720619403338053,1.0,0.8,5.247024072160486,36.0,0.0,True,True
2025,13,16.223456166616145,0.0,0.0,-0.4720619403338053,1.0,0.8,4.499809670330265,41.0,0.0,True,True
2025,5,15.223208827747317,0.0,0.0,-0.4720619403338053,0.0,0.6,3.9512437185814275,23.0,0.0,True,True
2025,5,13.815510557964274,0.0,0.0,1.2290168329667261,0.0,0.5,3.091042453358316,13.0,0.0,True,True
2025,13,14.662808418351478,0.0,0.0,-0.4720619403338053,0.0,0.7,3.4011973816621555,12.0,0.0,True,True
2025,11,14.65034003263945,0.0,0.0,-0.4720619403338053,1.0,0.3,3.6375861597263857,18.0,0.0,True,True
2025,13,14.972963346655318,0.0,0.0,-0.4720619403338053,1.0,0.7,4.700480365792417,12.0,0.0,True,True
2025,13,14.614018254182046,0.0,0.0,-0.4720619403338053,1.0,0.6,5.41610040220442,7.0,0.0,True,True
2025,13,16.187088522445272,0.0,0.0,-0.4720619403338053,0.0,0.75,3.332204510175204,9.0,0.0,True,True
2025,23,14.874818796673354,0.35,0.12249999999999998,2.930095606267258,1.0,0.75,5.4116460518550396,17.0,0.0,True,True
2025,5,14.721616264780064,0.0,0.0,1.2290168329667261,0.0,0.8,4.31748811353631,20.0,0.0,True,True
2025,5,15.207224986553504,0.0,0.0,1.2290168329667261,0.0,0.5,3.1354942159291497,23.0,0.0,True,True
2025,13,14.833787698541498,0.0,0.0,-0.4720619403338053,1.0,0.7,2.9444389791664403,15.0,0.0,True,True
2025,16,16.251627043582843,0.0,0.0,1.2290168329667261,1.0,0.8,4.248495242049359,60.0,0.0,True,True
2025,13,13.710150042306449,0.0,0.0,1.2290168329667261,1.0,0.75,3.4011973816621555,23.0,0.0,True,True
2025,13,16.272246330785578,0.0,0.0,-0.4720619403338053,0.0,0.7,3.4011973816621555,16.0,0.0,True,True
2025,16,14.941521820820498,0.0,0.0,-0.4720619403338053,1.0,0.6,1.791759469228055,35.0,0.0,True,True
2025,13,16.5022833606192,0.0,0.0,-0.4720619403338053,0.0,0.7,3.6375861597263857,9.0,0.0,True,True
2025,13,15.01948336229021,0.0,0.0,-0.4720619403338053,0.0,0.7,2.70805020110221,10.0,0.0,True,True
2025,13,16.588099280204055,0.0,0.0,-0.4720619403338053,1.0,0.7,5.521460917862246,33.0,0.0,True,True
2025,5,13.963930563082547,0.0,0.0,-0.4720619403338053,0.0,0.5,3.2188758248682006,4.0,0.0,True,True
2025,13,14.73180128983843,0.0,0.0,-0.4720619403338053,1.0,0.7,5.075173815233827,29.0,0.0,True,True
2025,5,14.309230713827326,0.0,0.0,-0.4720619403338053,0.0,0.5,3.2188758248682006,10.0,0.0,True,True
2025,5,13.779142913793399,0.0,0.0,1.2290168329667261,0.0,0.65,2.6390573296152584,23.0,0.0,True,True
2025,23,15.37783650890924,0.4,0.16000000000000003,2.930095606267258,1.0,0.75,5.327876168789581,17.0,0.0,True,True
2025,12,13.081264902359163,0.0,0.0,1.2290168329667261,0.0,0.45,3.258096538021482,49.0,0.0,True,True
2025,15,14.480486861557523,0.0,0.0,-0.4720619403338053,0.0,0.8,5.19295685089021,13.0,0.0,True,True
2025,8,14.469437025370938,0.0,0.0,-0.4720619403338053,0.0,0.8,4.174387269895637,62.0,0.0,True,True
2025,5,15.345905263057922,0.0,0.0,1.2290168329667261,1.0,0.65,5.1647859739235145,27.0,0.0,True,True
2025,13,14.73180128983843,0.0,0.0,-0.4720619403338053,0.0,0.7,2.995732273553991,20.0,0.0,True,True
