model,term,b,se,t,p,sig,n,r2,adj_r2,tp,b1,b2,lm_p,shape,tp_raw,tp_se,tci_mod_joint_F,tci_mod_joint_p,dai_mod_joint_F,dai_mod_joint_p
M7,firm_age,0.4359,0.1003,4.347,0.0,***,8224,0.2357,0.235,,-13.214806881164238,22.034893297272788,1.0,U or linear (b2>=0),,,109.7217,0.0,,
M7,ln_size,0.2204,0.0298,7.383,0.0,***,8224,0.2357,0.235,,-13.214806881164238,22.034893297272788,1.0,U or linear (b2>=0),,,109.7217,0.0,,
M8,Intercept,11.6548,0.2297,50.74,0.0,***,8220,0.2442,0.2432,,-12.690003206996188,21.18412042850171,1.0,U or linear (b2>=0),,,,,1.5818,0.2057
M8,fsts_c,-12.69,0.4613,-27.507,0.0,***,8220,0.2442,0.2432,,-12.690003206996188,21.18412042850171,1.0,U or linear (b2>=0),,,,,1.5818,0.2057
M8,fsts_c2,21.1841,0.7629,27.768,0.0,***,8220,0.2442,0.2432,,-12.690003206996188,21.18412042850171,1.0,U or linear (b2>=0),,,,,1.5818,0.2057
M8,tci_z,0.0635,0.0675,0.941,0.3468,,8220,0.2442,0.2432,,-12.690003206996188,21.18412042850171,1.0,U or linear (b2>=0),,,,,1.5818,0.2057
M8,fsts_c_x_tci,5.0181,0.4093,12.259,0.0,***,8220,0.2442,0.2432,,-12.690003206996188,21.18412042850171,1.0,U or linear (b2>=0),,,,,1.5818,0.2057
M8,fsts_c2_x_tci,-7.9204,0.6689,-11.841,0.0,***,8220,0.2442,0.2432,,-12.690003206996188,21.18412042850171,1.0,U or linear (b2>=0),,,,,1.5818,0.2057
M8,dai_z,-0.243,0.0871,-2.791,0.0052,**,8220,0.2442,0.2432,,-12.690003206996188,21.18412042850171,1.0,U or linear (b2>=0),,,,,1.5818,0.2057
M8,fsts_c_x_dai,0.744,0.4348,1.711,0.087,†,8220,0.2442,0.2432,,-12.690003206996188,21.18412042850171,1.0,U or linear (b2>=0),,,,,1.5818,0.2057
M8,fsts_c2_x_dai,-1.3134,0.7429,-1.768,0.0771,†,8220,0.2442,0.2432,,-12.690003206996188,21.18412042850171,1.0,U or linear (b2>=0),,,,,1.5818,0.2057
M8,foreign_own_pct,0.0098,0.0018,5.456,0.0,***,8220,0.2442,0.2432,,-12.690003206996188,21.18412042850171,1.0,U or linear (b2>=0),,,,,1.5818,0.2057
M8,firm_age,0.3777,0.0994,3.798,0.0001,***,8220,0.2442,0.2432,,-12.690003206996188,21.18412042850171,1.0,U or linear (b2>=0),,,,,1.5818,0.2057
M8,ln_size,0.2454,0.0298,8.242,0.0,***,8220,0.2442,0.2432,,-12.690003206996188,21.18412042850171,1.0,U or linear (b2>=0),,,,,1.5818,0.2057
M9,Intercept,11.4378,0.2316,49.394,0.0,***,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M9,fsts_c,-13.9455,0.6556,-21.271,0.0,***,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M9,fsts_c2,21.1114,0.7621,27.7,0.0,***,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M9,tci_z,0.082,0.0675,1.214,0.2246,,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M9,fsts_c_x_tci,4.9157,0.4115,11.945,0.0,***,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M9,fsts_c2_x_tci,-7.7852,0.6743,-11.546,0.0,***,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M9,dai_z,-0.2488,0.0871,-2.856,0.0043,**,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M9,fsts_c_x_dai,0.6668,0.4351,1.532,0.1254,,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M9,fsts_c2_x_dai,-1.2152,0.7444,-1.633,0.1026,,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M9,mgr_experience,0.4337,0.0586,7.407,0.0,***,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M9,fsts_c_x_mgr,0.5825,0.2055,2.835,0.0046,**,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M9,foreign_own_pct,0.0092,0.0018,5.069,0.0,***,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M9,firm_age,0.4252,0.1002,4.245,0.0,***,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M9,ln_size,0.0519,0.0397,1.308,0.191,,8220,0.25,0.2488,,-13.945486566741693,21.111438079848604,1.0,U or linear (b2>=0),,,,,,
M10,Intercept,6.7634,0.2914,23.208,0.0,***,8220,0.67,0.6696,31.9,31.5104,-49.3464,0.0,inverted-U,0.319278036584807,1.48,,,,
M10,fsts_c,31.5104,1.5486,20.348,0.0,***,8220,0.67,0.6696,31.9,31.5104,-49.3464,0.0,inverted-U,0.319278036584807,1.48,,,,
M10,fsts_c2,-49.3464,3.8157,-12.932,0.0,***,8220,0.67,0.6696,31.9,31.5104,-49.3464,0.0,inverted-U,0.319278036584807,1.48,,,,
M10,tci_z,-0.3854,0.0288,-13.372,0.0,***,8220,0.67,0.6696,31.9,31.5104,-49.3464,0.0,inverted-U,0.319278036584807,1.48,,,,
M10,dai_z,-0.0271,0.026,-1.043,0.2971,,8220,0.67,0.6696,31.9,31.5104,-49.3464,0.0,inverted-U,0.319278036584807,1.48,,,,
M10,icrv_group,2.5213,0.0764,32.996,0.0,***,8220,0.67,0.6696,31.9,31.5104,-49.3464,0.0,inverted-U,0.319278036584807,1.48,,,,
M10,fsts_c_x_icrv,-10.0399,0.4565,-21.992,0.0,***,8220,0.67,0.6696,31.9,31.5104,-49.3464,0.0,inverted-U,0.319278036584807,1.48,,,,
M10,fsts_c2_x_icrv,15.926,1.0973,14.514,0.0,***,8220,0.67,0.6696,31.9,31.5104,-49.3464,0.0,inverted-U,0.319278036584807,1.48,,,,
