study_id,author,year,enrich_status,enrich_doi,corpus_doi,corpus_title,corpus_journal,corpus_year,n_candidates,title_overlap,match_confidence,agrees_enrich
S159,Fernández-Olmos & Díez-Vial,2015,not_found,,,,,,0,,no_corpus_match,no
S160,Lu & Beamish,2006,author_year_guess,10.1007/s00410-006-0128-x,10.1057/palgrave.jibs.8400282,Internationalization and the performance of born-global SMEs: the mediating role of social networks,Journal of International Business Studies,2007,2,0.0,candidate_multi,no
S161,"Contractor, Kumar & Kundu",2007,not_found,,10.1016/j.jwb.2007.06.003,Nature of the relationship between international expansion and performance: The case of emerging market firms,Journal of World Business,2007,1,0.0,candidate_unique,no
S162,Oh & Sohl,2017,author_year_guess,10.1021/acsenergylett.7b00206,10.1007/s11575-016-0284-9,Internationalization Speed and Firm Performance: A Study of the Market-Seeking Expansion of Retail MNEs,Management International Review,2016,14,0.0,candidate_multi,no
S163,Ogasavara & Hoshino,2007,not_found,,,,,,0,,no_corpus_match,no
S164,"Gao, Murray, Kotabe & Lu",2010,author_year_guess,10.1038/ncomms1583,,,,,0,,no_corpus_match,no
S165,Doukas & Kan,2006,author_year_guess,,,,,,0,,no_corpus_match,no
S166,Castellacci,2015,author_year_guess,10.1016/j.jbankfin.2014.05.013,,,,,0,,no_corpus_match,no
S167,Reuber & Fischer,1997,author_year_guess,10.2307/3870267,,,,,0,,no_corpus_match,no
S168,"Zhou, Wu & Luo",2007,author_year_guess,10.4324/9781841697178,10.1057/palgrave.jibs.8400282,Internationalization and the performance of born-global SMEs: the mediating role of social networks,Journal of International Business Studies,2007,1,0.0,candidate_unique,no
S169,"Isobe, Makino & Montgomery",2000,author_year_guess,10.1021/ja015888l,,,,,0,,no_corpus_match,no
S170,Shan & Song,1997,not_found,,,,,,0,,no_corpus_match,no
S171,"Buckley, Dunning & Pearce",1978,author_year_guess,10.2307/3727132,,,,,0,,no_corpus_match,no
S172,"Oesterle, Richta & Fisch",2013,author_year_guess,10.3217/zfhe-9-05/02,10.4337/9780857936790.00011,Using quantitative longitudinal data to analyse the relationship between firms' internationalization and performance,Edward Elgar Publishing eBooks,2013,1,0.0,candidate_unique,no
S173,"Nguyen, Almodóvar & Martínez-Noya",2018,author_year_guess,10.18653/v1/n18-2053,10.3390/jrfm12030144,"Internationalization, Strategic Slack Resources, and Firm Performance: The Case Study of Vietnamese Enterprises",Journal of risk and financial management,2019,4,0.0,candidate_multi,no
S174,"Ogasavara, Hoshino & Alberton",2016,author_year_guess,10.18568/1980-4865.11349-63,,,,,0,,no_corpus_match,no
S175,Jo & Roth,2015,author_year_guess,10.1097/md.0000000000001144,10.1111/jsbm.12241,SME Networks and International Performance: Unveiling the Significance of Foreign Market Entry Mode,Journal of Small Business Management,2016,16,0.0,candidate_multi,no
S176,Khattak & Shah,2022,author_year_guess,10.31703/glr.2023(viii-ii).33,,,,,0,,no_corpus_match,no
S177,Lee & Yoon,2022,author_year_guess,10.59327/ipcc/ar6-9789291691647,10.1016/j.ibusrev.2022.102053,Entry mode diversity and closing commercial deals with international customers: The moderating role of advanced servitization,International Business Review,2022,7,0.0,candidate_multi,no
S178,Lin & Liu,2022,author_year_guess,10.1109/tim.2023.3244811,10.1155/2021/5528972,The Relationship between Extent of Internationalization and Firm Performance (Taiwan 1992–2017),Mathematical Problems in Engineering,2021,21,0.0,candidate_multi,no
S179,"Chen, Zhang & Li",2022,author_year_guess,10.1016/j.cnsns.2021.106067,10.5539/jms.v12n2p67,Financial Performance and Characteristics: A Comparison of Born Global and Gradual Internationalization Firms in China,Journal of Management and Sustainability,2022,22,0.0,candidate_multi,no
S180,Wang & Xiang,2022,author_year_guess,10.1109/tfuzz.2021.3098339,10.1016/j.jwb.2021.101306,Outward FDI and Innovation Performance of Chinese Firms: Why Can Home-Grown Political Ties Be A Liability?,Journal of World Business,2021,11,0.0,candidate_multi,no
S181,Nguyen & Dinh,2022,author_year_guess,10.1080/09669582.2021.1884689,,,,,0,,no_corpus_match,no
S182,Vo & Nguyen,2021,author_year_guess,10.1038/s41586-020-2488-1,10.57110/jeb.v1i2.4497,A 21-Year Review of Research on the Effect of Internationalization on Firm Financial Performance and Research Agenda,VNU JOURNAL OF ECONOMICS AND BUSINESS,2021,6,0.0,candidate_multi,no
S183,Kim & Kim,2023,author_year_guess,10.3390/metabo12121166,10.5539/jms.v12n2p67,Financial Performance and Characteristics: A Comparison of Born Global and Gradual Internationalization Firms in China,Journal of Management and Sustainability,2022,8,0.0,candidate_multi,no
S184,Borkakoti & Dua,2023,author_year_guess,10.1016/j.sbi.2022.102526,,,,,0,,no_corpus_match,no
S185,Li & Li,2023,author_year_guess,10.1038/s41586-022-05627-8,10.1371/journal.pone.0263674,The dual mechanism of social networks on the relationship between internationalization and firm performance: Empirical evidence from china,PLoS ONE,2022,86,0.0,candidate_multi,no
S186,"Torres, Kunc & O'Shannassy",2022,not_found,,10.1057/s41267-022-00580-0,The link between foreign institutional owners and multinational enterprises’ environmental outcomes,Journal of International Business Studies,2023,1,0.0,candidate_unique,no
S187,Cho & Lee,2023,author_year_guess,10.1016/j.ymben.2022.03.009,10.33168/jsms.2023.0223,Entrepreneurial Orientation and MSMEs Internationalization: The mediating role of Politicisation,Journal of System and Management Sciences,2023,1,0.0,candidate_unique,no
S188,Do & Phan,2025,author_year_guess,10.1016/s1473-3099(24)00141-5,10.5772/intechopen.1011012,Internationalization and Firm Performance of Firms in India: The Role of Top Management,"Business, management and economics",2025,20,0.0,candidate_multi,no
S189,Do & Phan,2026,author_year_guess,10.1038/s41586-025-08688-7,10.5772/intechopen.1011012,Internationalization and Firm Performance of Firms in India: The Role of Top Management,"Business, management and economics",2025,15,0.0,candidate_multi,no
S190,"Phan, Ninh & Do",2021,author_year_guess,10.5751/es-12625-260319,10.5267/j.dsl.2020.7.001,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,Decision Science Letters,2020,7,0.0,candidate_multi,no
S191,Phan et al.,2021,author_year_guess,10.5751/es-12625-260319,10.5267/j.dsl.2020.7.001,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,Decision Science Letters,2020,7,0.0,candidate_multi,no
S192,Tu & Huynh,2021,not_found,,10.5267/j.dsl.2020.7.001,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,Decision Science Letters,2020,17,0.0,candidate_multi,no
S193,García-Sánchez & Rama,2024,author_year_guess,10.1519/jsc.0000000000005208,,,,,0,,no_corpus_match,no
S194,Godbole,2024,author_year_guess,10.18632/oncotarget.28455,10.1002/bsd2.365,Does internationalization and board diversity affect family firms' sustainable performance? Empirical evidence from an emerging economy,Business Strategy & Development,2024,1,0.0,candidate_unique,no
S195,Barłożewski & Trąpczyński (2021a),,not_found,,,,,,0,,no_corpus_match,no
S196,Barłożewski & Trąpczyński (2021b),,not_found,,,,,,0,,no_corpus_match,no
S197,Calabrese & Manello,2018,author_year_guess,10.1007/s12079-018-0497-8,10.1016/j.jpolmod.2018.01.008,Firm internationalization and performance: Evidence for designing policies,Journal of Policy Modeling,2018,1,0.0,candidate_unique,no
S198,Cao et al.,2022,author_year_guess,10.1002/advs.202100241,10.1371/journal.pone.0263674,The dual mechanism of social networks on the relationship between internationalization and firm performance: Empirical evidence from china,PLoS ONE,2022,1,0.0,candidate_unique,no
S199,Carr et al.,2010,author_year_guess,10.1016/j.revpalbo.2011.12.005,10.5771/0935-9915-2010-3-353,Managerial Cultural Intelligence and Small Business in Canada,management revue,2010,1,0.0,candidate_unique,no
S200,Chen & Hsu,2010,author_year_guess,10.1021/cr1001645,10.1016/j.jwb.2010.10.022,Region effects in the internationalization–performance relationship in Chinese firms,Journal of World Business,2010,4,0.0,candidate_multi,no
S201,Cuervo-Cazurra et al.,2017,author_year_guess,10.1016/j.jwb.2017.11.002,10.1016/j.jwb.2017.11.002,Home country uncertainty and the internationalization-performance relationship: Building an uncertainty management capability,Journal of World Business,2017,1,0.0,confirmed_crosscheck,yes
S202,Da Cunha et al.,2023,author_year_guess,10.12820/rbafs.27e0248,10.1016/j.ibusrev.2023.102135,"Digitalization, internationalization, and firm performance: A resource-orchestration perspective on new OLI advantages",International Business Review,2023,40,0.0,candidate_multi,no
S203,Debicki et al.,2020,author_year_guess,10.3389/fneur.2021.757219,10.1108/ccsm-04-2019-0075,Internationalization and family firm performance,Cross Cultural & Strategic Management,2020,1,0.0,candidate_unique,no
S204,Dikova & Veselova,2020,author_year_guess,10.3390/pr9050779,10.1017/mor.2020.39,Performance Effects of Internationalization: Contingency Theory Analysis of Russian Internationalized Firms,Management and Organization Review,2020,1,0.0,candidate_unique,no
S205,Elango,2012,author_year_guess,10.1186/1735-2746-9-35,10.1002/tie.21491,How Industry Dynamics Influence the Internationalization–Performance Relationship: Evidence From Technology‐Intensive Firms,Thunderbird International Business Review,2012,2,0.0,candidate_multi,no
S206,Espinosa-Méndez & Jara,2021,not_found,,,,,,0,,no_corpus_match,no
S207,Fu,2024,not_found,,10.2139/ssrn.4592758,Conceptual Framework on Internet Born Global's Internationalization,SSRN Electronic Journal,2023,4,0.0,candidate_multi,no
S208,Khatua et al.,2024,not_found,,10.1007/s10843-023-00345-2,The internationalization and performance of INVs: Liability or learning advantages of newness?,Journal of International Entrepreneurship,2024,1,0.0,candidate_unique,no
S209,Lin et al.,2011,author_year_guess,10.1016/j.tourman.2010.01.018,10.2139/ssrn.1692583,Internationalization Strategy and Performance of Small and Medium Sized Enterprises,SSRN Electronic Journal,2010,6,0.0,candidate_multi,no
S210,Manotas & Gonzalez-Perez,2020,author_year_guess,10.29375/01237047.2796,10.1108/cr-03-2019-0028,Internationalization and performance of small and medium-sized enterprises from emerging economies,Competitiveness Review An International Business Journal incorporating Journal of Global Competitiveness,2020,1,0.0,candidate_unique,no
S211,Olmos & Díez-Vial,2015,author_year_guess,10.1039/c4cp01963f,10.1108/ejm-06-2012-0365,Internationalization pathways and the performance of SMEs,European Journal of Marketing,2015,1,0.0,candidate_unique,no
S212,"Phan, Tran & Lu",2020,author_year_guess,10.5751/es-12625-260319,10.5267/j.dsl.2020.7.001,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,Decision Science Letters,2020,10,0.0,candidate_multi,no
S213,Purkayastha et al.,2024,author_year_guess,10.18653/v1/2023.emnlp-demo.13,10.1016/j.intman.2024.101122,Role of resource investment management and strategic resource deployment capabilities in internationalization-performance relationship,Journal of International Management,2024,1,0.0,candidate_unique,no
S214,Purkayastha et al.,2021,author_year_guess,10.17161/randa.v27i3.14901,10.1007/s10490-022-09809-w,Business group affiliation and entrepreneurial orientation: Contingent effect of level of internationalization and firm’s performance,Asia Pacific Journal of Management,2022,2,0.0,candidate_multi,no
S215,Rienda & Andreu,2021,author_year_guess,10.1016/j.jes.2022.02.013,10.1108/ijchm-10-2020-1141,"The impact of knowledge management on the internationalization, organizational ambidexterity and performance of Spanish hotel chains",International Journal of Contemporary Hospitality Management,2021,2,0.0,candidate_multi,no
S216,Schmuck et al. (2022a),,author_year_guess,10.1080/17524032.2023.2237693,,,,,0,,no_corpus_match,no
S217,Singla & George,2013,author_year_guess,10.1609/aaai.v28i1.9068,10.1016/j.jbusres.2013.05.041,Internationalization and performance: A contextual analysis of Indian firms,Journal of Business Research,2013,1,0.0,candidate_unique,no
S218,Sun et al.,2019,author_year_guess,10.1111/nph.15796,10.1057/s41267-018-0166-4,Network centrality and organizational aspirations: A behavioral interaction in the context of international strategic alliances,Journal of International Business Studies,2018,10,0.0,candidate_multi,no
S219,Tongurai & Vithessonthi,2022,not_found,,,,,,0,,no_corpus_match,no
S220,Tsionas & Tzeremes,2021,author_year_guess,10.2139/ssrn.4064916,10.1111/1467-8551.12560,The Degree of Internationalization and Firm Productivity: Empirical Evidence from Large Multinationals,British Journal of Management,2021,1,0.0,candidate_unique,no
S221,Vithessonthi & Racela,2016,not_found,,10.2139/ssrn.2703930,"Capital Investment, Internationalization, and Firm Performance: Evidence from Southeast Asian Countries",SSRN Electronic Journal,2015,2,0.0,candidate_multi,no
S222,Wang et al.,2020,author_year_guess,10.1016/s2213-2600(20)30076-x,10.1016/j.jwb.2021.101306,Outward FDI and Innovation Performance of Chinese Firms: Why Can Home-Grown Political Ties Be A Liability?,Journal of World Business,2021,7,0.0,candidate_multi,no
S223,Wei & Lin,2021,author_year_guess,10.1016/j.jhydrol.2020.125287,10.1155/2021/5528972,The Relationship between Extent of Internationalization and Firm Performance (Taiwan 1992–2017),Mathematical Problems in Engineering,2021,9,0.0,candidate_multi,no
S224,Xiao et al.,2013,author_year_guess,10.3109/13880209.2012.761243,10.1016/j.intman.2012.12.003,Internationalization and Performance of Firms in China: Moderating Effects of Governance Structure and the Degree of Centralized Control,Journal of International Management,2013,5,0.0,candidate_multi,no
S225,Xiong et al.,2024,author_year_guess,10.5281/zenodo.17798744,10.1016/j.frl.2024.106247,Internationalization speed and corporate long-term performance: Exploring the inverted U-shaped relationship,Finance research letters,2024,1,0.0,candidate_unique,no
S226,Zeng et al.,2009,author_year_guess,10.1038/ng.601,10.1108/00251740910938939,Relationships between business factors and performance in internationalization,Management Decision,2009,1,0.0,candidate_unique,no
S227,Ahsan & Sinha,2022,author_year_guess,10.1016/s0140-6736(21)01852-3,10.1016/j.ibusrev.2022.102032,"Strategic agility of SMEs in emerging economies: Antecedents, consequences and boundary conditions",International Business Review,2022,2,0.0,candidate_multi,no
S228,Ruzzier & Ruzzier,2014,author_year_guess,10.1016/j.cretres.2014.09.011,,,,,0,,no_corpus_match,no
S229,Azman et al.,2022,author_year_guess,10.18848/2327-7971/cgp/v28i01/15-26,,,,,0,,no_corpus_match,no
S230,Bhandari et al.,2023,author_year_guess,10.61093/hem.2024.2-10,10.1016/j.ibusrev.2023.102135,"Digitalization, internationalization, and firm performance: A resource-orchestration perspective on new OLI advantages",International Business Review,2023,2,0.0,candidate_multi,no
S231,Hosseini et al.,2018,author_year_guess,10.1061/(asce)he.1943-5584.0001503,10.1016/j.forpol.2018.09.013,A combined focused industry and company size investigation of the internationalization-performance relationship: The case of small and medium-sized enterprises (SMEs) within the Swedish wood manufacturing industry,Forest Policy and Economics,2018,1,0.0,candidate_unique,no
S232,Huang & Marciano,2020,author_year_guess,10.1007/s10346-020-01491-7,10.2991/aebmr.k.200127.085,Interdependence Relationship of Internationalization—Performance in Manufacturing Firms Listed in Indonesia Stock Exchange and Chinese Stock Exchanges,,2020,5,0.0,candidate_multi,no
S233,Kayaci,2022,not_found,,,,,,0,,no_corpus_match,no
S234,Yip et al.,2000,author_year_guess,,,,,,0,,no_corpus_match,no
S235,Freixanet & Rialp,2021,author_year_guess,10.5093/anyes2022a15,10.1002/gsj.1412,"Disentangling the relationship between internationalization, incremental and radical innovation, and firm performance",Global Strategy Journal,2021,2,0.0,candidate_multi,no
S236,Barłożewski & Trąpczyński (2021a),,not_found,,,,,,0,,no_corpus_match,no
S237,Barłożewski & Trąpczyński (2021b),,not_found,,,,,,0,,no_corpus_match,no
S238,Srividhya et al.,2024,author_year_guess,10.1039/d3ya00100h,10.11130/jei.2024033,Internationalization at Inception: Insights from the Indian Textile Industry's Born Globals,Journal of Economic Integration,2024,1,0.0,candidate_unique,no
