"term","estimate","se","t_stat","p_val","model","n_obs","r_sq","adj_r_sq"
"firm_age",0.00461776274249406,0.000622108421129285,7.42276199076624,1.17226992194262e-13,"M7",36137,0.696673,0.696235
"foreign_own_pct",-0.299667063985225,0.0283392624825536,-10.5742717958771,4.28284415830348e-26,"M7",36137,0.696673,0.696235
"factor(isic_sector)1",-0.205225937319776,0.0529592080127212,-3.87517006052053,0.000106738545134112,"M7",36137,0.696673,0.696235
"factor(isic_sector)2",0.0939463409354549,0.0548240954805263,1.71359582154575,0.086611570448889,"M7",36137,0.696673,0.696235
"factor(isic_sector)3",0.367422617049903,0.0605453682124668,6.06855037631512,1.30353346590564e-09,"M7",36137,0.696673,0.696235
"factor(isic_sector)4",-0.0620855781315147,0.117241466323759,-0.529553067513394,0.596425099486576,"M7",36137,0.696673,0.696235
"factor(isic_sector)5",0.459699250922482,0.362740905665262,1.2672936626196,0.20505848421373,"M7",36137,0.696673,0.696235
"factor(isic_sector)6",-0.687648695608785,0.350678545649525,-1.96090894107915,0.0498973262795624,"M7",36137,0.696673,0.696235
"factor(isic_sector)7",0.440090097107752,0.455958854123434,0.965196953908947,0.334452640841176,"M7",36137,0.696673,0.696235
"factor(isic_sector)8",-0.103184028191347,0.291571615220507,-0.353889140111638,0.723424033676247,"M7",36137,0.696673,0.696235
"factor(year)2010",0.267346205620482,0.177336991783258,1.50756028357149,0.131675858581673,"M7",36137,0.696673,0.696235
"factor(year)2011",-0.80750108793887,0.158876113445441,-5.08258334388428,3.74192374394727e-07,"M7",36137,0.696673,0.696235
"factor(year)2013",1.23355798529399,0.0681396007412735,18.1033932085663,6.30641054804559e-73,"M7",36137,0.696673,0.696235
"factor(year)2014",-1.18407554896923,0.22772590791339,-5.19956451076951,2.00843739085781e-07,"M7",36137,0.696673,0.696235
"factor(year)2015",0.364768977951176,0.0318085773171451,11.4676294483175,2.16592024048055e-30,"M7",36137,0.696673,0.696235
"factor(year)2016",-0.502750370349415,0.240516540568351,-2.09029436878393,0.0365983457557086,"M7",36137,0.696673,0.696235
"factor(year)2018",-0.65942948450921,0.267173799122947,-2.46816673893145,0.013585305860913,"M7",36137,0.696673,0.696235
"factor(year)2019",1.58825764352459,0.0624918916205563,25.4154195422393,2.99107214141291e-141,"M7",36137,0.696673,0.696235
"factor(year)2020",1.56312320653565,0.194529857305664,8.035389673265,9.60975478941956e-16,"M7",36137,0.696673,0.696235
"factor(country)Armenia",0.221686284121545,0.211829095408867,1.04653368647802,0.295321710482373,"M7",36137,0.696673,0.696235
"factor(country)Bangladesh",-2.07038035671839,0.131686740915279,-15.7220107531583,1.63444471815037e-55,"M7",36137,0.696673,0.696235
"factor(country)Bhutan",-0.865970252328458,0.183307193852826,-4.72414766778729,2.31951452444523e-06,"M7",36137,0.696673,0.696235
"factor(country)Cambodia",4.11861156997462,0.216916635746414,18.9870710275512,5.36301270962486e-80,"M7",36137,0.696673,0.696235
"factor(country)Cyprus",-4.46644448468464,0.145254039874037,-30.7491928524528,5.59267102364976e-205,"M7",36137,0.696673,0.696235
"factor(country)Georgia",-5.00395262692053,0.143106729184344,-34.9665781297724,1.84718694401861e-263,"M7",36137,0.696673,0.696235
"factor(country)India",1.00880855152001,0.177521145731132,5.68275146808665,1.33564381046798e-08,"M7",36137,0.696673,0.696235
"factor(country)Indonesia",3.76471239341321,0.150016404295608,25.0953381471192,8.53053940177332e-138,"M7",36137,0.696673,0.696235
"factor(country)Iraq",4.92998264459269,0.0836445095788071,58.9397041051191,0,"M7",36137,0.696673,0.696235
"factor(country)Israel",-1.95912905053942,0.135233212845722,-14.4870406412251,1.98865271039427e-47,"M7",36137,0.696673,0.696235
"factor(country)Jordan",-5.18004511002645,0.139570697321267,-37.1141307555617,6.26175239639131e-296,"M7",36137,0.696673,0.696235
"factor(country)Kazakhstan",-0.23447466285407,0.134793466983816,-1.7395105868315,0.08195351853988,"M7",36137,0.696673,0.696235
"factor(country)KyrgyzRepublic",-2.02573707787963,0.146064986582215,-13.8687383286028,1.26833439003859e-43,"M7",36137,0.696673,0.696235
"factor(country)Laos",4.97194726599769,0.20573849951386,24.1663435756843,5.24991885437751e-128,"M7",36137,0.696673,0.696235
"factor(country)Lebanon",2.77786685692741,0.137440980280949,20.2113434526519,2.46473878204474e-90,"M7",36137,0.696673,0.696235
"factor(country)Malaysia",-4.142119638822,0.164493653658782,-25.1810300682738,1.02352182429861e-138,"M7",36137,0.696673,0.696235
"factor(country)Mongolia",1.59331836877344,0.137981404445463,11.5473412897692,8.62530901660918e-31,"M7",36137,0.696673,0.696235
"factor(country)Mongolia_panel",1.59331836877342,0.134388917962016,11.8560249828319,2.30001470997281e-32,"M7",36137,0.696673,0.696235
"factor(country)Myanmar",2.76416832131806,0.187635752158038,14.7315652242538,5.61148082306214e-49,"M7",36137,0.696673,0.696235
"factor(country)Pakistan",-1.57826986576227,0.158071694048043,-9.98451920988832,1.91100291403984e-23,"M7",36137,0.696673,0.696235
"factor(country)PapuaNewGuinea",-2.42701016131694,0.203210275667291,-11.9433436785972,8.11154426922856e-33,"M7",36137,0.696673,0.696235
"factor(country)Philippines",-0.480925497476533,0.146941402823068,-3.27290667052917,0.00106547662310767,"M7",36137,0.696673,0.696235
"factor(country)Philippines_panel",-0.480925497476569,0.146941402823062,-3.27290667052955,0.00106547662310624,"M7",36137,0.696673,0.696235
"factor(country)Tajikistan",-5.10072827978473,0.161016095320131,-31.6783751937562,2.95334650417109e-217,"M7",36137,0.696673,0.696235
"factor(country)Thailand",-0.00695361355539891,0.203800431739392,-0.0341197194532482,0.972781872511107,"M7",36137,0.696673,0.696235
"factor(country)TimorLeste",-5.62906606810315,0.177399891597347,-31.7309442380028,5.82640829895402e-218,"M7",36137,0.696673,0.696235
"factor(country)Uzbekistan",1.85892816890074,0.142466514866118,13.0481760619164,7.97000868914843e-39,"M7",36137,0.696673,0.696235
"factor(country)Vietnam",5.36074048575141,0.14950743689341,35.8560122301695,1.08865082907234e-276,"M7",36137,0.696673,0.696235
"(Intercept)",14.6071507886013,0.168462506572088,86.7086159753333,0,"M8",36137,0.696958,0.696505
"fsts_c",0.639851341215171,0.121425756709414,5.26948613337784,1.37590808254343e-07,"M8",36137,0.696958,0.696505
"fsts_c2",-0.824047772340341,0.161617658138675,-5.09874837830699,3.43632653769923e-07,"M8",36137,0.696958,0.696505
"tci_z",0.216585313202599,0.0116768626922224,18.5482452702694,1.91240959009111e-76,"M8",36137,0.696958,0.696505
"dai_z",0.167434013034526,0.00919347260090055,18.2122708472667,8.83928931426265e-74,"M8",36137,0.696958,0.696505
"mgr_experience",0.00115895512720119,0.000886526395999802,1.30729906343528,0.191119492545098,"M8",36137,0.696958,0.696505
"mgr_female",-0.117334818858005,0.022811282609696,-5.14371860914703,2.7075961216037e-07,"M8",36137,0.696958,0.696505
"ln_size",-0.124809937743136,0.0101708066234756,-12.271390300063,1.51216880670163e-34,"M8",36137,0.696958,0.696505
"firm_age",0.00420350840431552,0.000676466917761905,6.21391570518016,5.22441444506005e-10,"M8",36137,0.696958,0.696505
"foreign_own_pct",-0.299331076237287,0.028352373346695,-10.5575315539565,5.11667415695598e-26,"M8",36137,0.696958,0.696505
"factor(isic_sector)1",-0.200327677685286,0.0529035355239042,-3.78665954366639,0.000152933387844185,"M8",36137,0.696958,0.696505
"factor(isic_sector)2",0.0965960369805341,0.0547696446534888,1.76367835854456,0.0777946084888027,"M8",36137,0.696958,0.696505
"factor(isic_sector)3",0.371039454829868,0.060476401015282,6.13527671291333,8.58934613206465e-10,"M8",36137,0.696958,0.696505
"factor(isic_sector)4",-0.060943929729643,0.11705956048658,-0.52062325773579,0.602632438794187,"M8",36137,0.696958,0.696505
"factor(isic_sector)5",0.475494154180896,0.359291223131204,1.32342268212674,0.185703238302992,"M8",36137,0.696958,0.696505
