outcome,n,b1,b1_p,b2,b2_p,turning_point_pct,shape,invU_confirmed,cyfe
ln_labor_prod,36772,0.4394,0.0564,-0.7998,0.0075,37.3,inverted-U,True,False
sales_growth,36772,-0.0,0.0288,0.0,0.1622,69.0,U/linear,False,True
