sample,model,term,b,se,p,ci_lo,ci_hi,n,r2
VNM2009,M0,lnEmp,-0.0843,0.0323,0.0091,-0.1476,-0.0209,989,0.1152
VNM2009,M0,FirmAge,0.0109,0.0036,0.0025,0.0038,0.0179,989,0.1152
VNM2009,M0,ForeignOwned,0.5379,0.1238,0.0,0.2952,0.7806,989,0.1152
VNM2009,M1,FSTSc,-0.0338,0.1601,0.8326,-0.3476,0.2799,989,0.1153
VNM2009,M1,lnEmp,-0.0816,0.0354,0.0211,-0.1509,-0.0122,989,0.1153
VNM2009,M1,FirmAge,0.0108,0.0036,0.003,0.0037,0.0179,989,0.1153
VNM2009,M1,ForeignOwned,0.5442,0.1302,0.0,0.289,0.7994,989,0.1153
VNM2009,M2,FSTSc,1.0454,0.431,0.0153,0.2007,1.8901,989,0.121
VNM2009,M2,FSTSc2,-1.7738,0.6818,0.0093,-3.1102,-0.4375,989,0.121
VNM2009,M2,lnEmp,-0.0896,0.0351,0.0108,-0.1584,-0.0207,989,0.121
VNM2009,M2,FirmAge,0.0101,0.0036,0.0048,0.0031,0.0172,989,0.121
VNM2009,M2,ForeignOwned,0.5359,0.1285,0.0,0.284,0.7878,989,0.121
VNM2009,M3,FSTSc,0.9947,0.4551,0.0288,0.1028,1.8866,989,0.1541
VNM2009,M3,FSTSc2,-1.5653,0.7275,0.0314,-2.9913,-0.1394,989,0.1541
VNM2009,M3,TCI_z,0.2055,0.0749,0.0061,0.0588,0.3523,989,0.1541
VNM2009,M3,FSTSc_TCIz,-0.5793,0.3383,0.0869,-1.2424,0.0839,989,0.1541
VNM2009,M3,FSTSc2_TCIz,0.579,0.559,0.3003,-0.5166,1.6746,989,0.1541
VNM2009,M3,lnEmp,-0.1575,0.037,0.0,-0.23,-0.0851,989,0.1541
VNM2009,M3,FirmAge,0.008,0.0035,0.0215,0.0012,0.0148,989,0.1541
VNM2009,M3,ForeignOwned,0.4465,0.1244,0.0003,0.2027,0.6904,989,0.1541
VNM2009,M4,FSTSc,0.8429,0.4198,0.0446,0.0202,1.6657,989,0.1455
VNM2009,M4,FSTSc2,-1.3792,0.6739,0.0407,-2.7,-0.0585,989,0.1455
VNM2009,M4,DAI_z,0.2354,0.0841,0.0051,0.0706,0.4002,989,0.1455
VNM2009,M4,FSTSc_DAIz,0.0111,0.3972,0.9776,-0.7674,0.7897,989,0.1455
VNM2009,M4,FSTSc2_DAIz,-0.1449,0.6595,0.8261,-1.4375,1.1476,989,0.1455
VNM2009,M4,lnEmp,-0.1357,0.0358,0.0002,-0.2058,-0.0655,989,0.1455
VNM2009,M4,FirmAge,0.0083,0.0035,0.0182,0.0014,0.0152,989,0.1455
VNM2009,M4,ForeignOwned,0.5333,0.1255,0.0,0.2874,0.7793,989,0.1455
VNM2009,M5,FSTSc,0.7886,0.4315,0.0676,-0.0571,1.6343,989,0.1495
VNM2009,M5,FSTSc2,-1.2851,0.6811,0.0592,-2.62,0.0498,989,0.1495
VNM2009,M5,TCI_z,0.2557,0.0452,0.0,0.1671,0.3442,989,0.1495
VNM2009,M5,lnEmp,-0.1532,0.0365,0.0,-0.2248,-0.0816,989,0.1495
VNM2009,M5,FirmAge,0.0079,0.0035,0.0246,0.001,0.0148,989,0.1495
VNM2009,M5,ForeignOwned,0.4379,0.125,0.0005,0.1929,0.6829,989,0.1495
VNM2009,M6,FSTSc,0.8569,0.4232,0.0429,0.0274,1.6864,989,0.1451
VNM2009,M6,FSTSc2,-1.4101,0.6703,0.0354,-2.7238,-0.0964,989,0.1451
VNM2009,M6,DAI_z,0.2184,0.0412,0.0,0.1377,0.2992,989,0.1451
VNM2009,M6,lnEmp,-0.1355,0.0358,0.0002,-0.2056,-0.0654,989,0.1451
VNM2009,M6,FirmAge,0.0083,0.0035,0.0182,0.0014,0.0152,989,0.1451
VNM2009,M6,ForeignOwned,0.537,0.1243,0.0,0.2933,0.7806,989,0.1451
VNM2009,M7,FSTSc,0.6791,0.426,0.1109,-0.1558,1.5141,989,0.1642
VNM2009,M7,FSTSc2,-1.0728,0.6738,0.1114,-2.3934,0.2479,989,0.1642
VNM2009,M7,TCI_z,0.2145,0.0459,0.0,0.1245,0.3044,989,0.1642
VNM2009,M7,DAI_z,0.1748,0.0419,0.0,0.0927,0.257,989,0.1642
VNM2009,M7,lnEmp,-0.1797,0.0366,0.0,-0.2514,-0.1081,989,0.1642
VNM2009,M7,FirmAge,0.0068,0.0035,0.05,-0.0,0.0135,989,0.1642
VNM2009,M7,ForeignOwned,0.4545,0.1229,0.0002,0.2136,0.6955,989,0.1642
VNM2009,M8,FSTSc,0.6865,0.423,0.1046,-0.1427,1.5156,989,0.1649
VNM2009,M8,FSTSc2,-1.0742,0.6777,0.113,-2.4025,0.2542,989,0.1649
VNM2009,M8,TCI_z,0.2166,0.0461,0.0,0.1262,0.3071,989,0.1649
