wave,step,filter,N
2012,raw,open,2700
2012,sample_analytic,all,2610
2012,sample_base,all,2610
2012,sample_dai,all,2610
2012,sample_tci,all,1639
2012,sample_full,all,1639
2024,raw,open,2189
2024,sample_analytic,all,1934
2024,sample_base,all,1934
2024,sample_dai,all,1934
2024,sample_tci,all,1920
2024,sample_full,all,1920
pooled,append,all,4889
pooled,sample_analytic,all,4544
pooled,sample_base,all,4544
pooled,sample_dai,all,4544
pooled,sample_tci,all,3559
pooled,sample_full,all,3559
