wave,b1,b2,slope_at_min,slope_at_max,t_low,t_high,p_low,p_high,p_joint,inverted_U_supported
2014,1.8645037981897765,-1.5081536399173754,1.8645037981897765,-1.1518034816449743,7.932079873127639,-4.01090605376768,1.1102230246251565e-15,3.024308833386671e-05,3.024308833386671e-05,True
2022,1.5418561870780332,-1.8932890147488648,1.5418561870780332,-2.2447218424196964,6.928585616664304,-8.4602088287144,2.125299936039937e-12,1.3344957309261811e-17,2.125299936039937e-12,True
2025,-0.35906829958980935,-0.16037101138218235,-0.35906829958980935,-0.679810322354174,-2.353781135328732,-2.579213122411382,0.9907082253539173,0.00495128356004026,0.9907082253539173,False
