wave,var,n,mean,sd,min,max
2014,lnLP,8941,13.929386507280347,1.2631325429898133,8.61563326422949,19.296149481306266
2014,FSTS,8941,0.07202773738955374,0.2186593627172851,0.0,1.0
2014,FSTSsq,8941,0.052994564366401965,0.19727828466175876,0.0,1.0
2014,TCI_full,8941,-0.00522952747409172,0.9989365167341767,-1.2919065032006722,2.063712020855144
2014,DAI_core,8941,0.5263393356447824,0.4993336820221033,0.0,1.0
2014,DAI_epay,0,,,,
2014,lnEmp,8941,3.63514415525692,1.292114083672817,0.6931471805599453,9.21024036697585
2014,firmage,8941,19.626887372777094,14.162145467288584,1.0,141.0
2014,foreigndummy,8941,0.008500167766469075,0.0918088102210242,0.0,1.0
2022,lnLP,9300,14.365890672914759,1.2138887234647755,8.922658299524402,19.644926653117857
2022,FSTS,9300,0.08043978494623656,0.2347327010403301,0.0,1.0
2022,FSTSsq,9300,0.0615640752688172,0.21250773494460354,0.0,1.0
2022,TCI_full,9300,0.0004839820412449034,1.0013310475146058,-0.6168149947933788,5.096925223730633
2022,DAI_core,9300,0.6060215053763441,0.48865643986003277,0.0,1.0
2022,DAI_epay,0,,,,
2022,lnEmp,9300,3.6395751738980846,1.3582721781722895,0.6931471805599453,9.210340371976184
2022,firmage,9300,22.74989247311828,14.95687693114221,1.0,150.0
2022,foreigndummy,9300,0.013655913978494624,0.11606411363321079,0.0,1.0
2025,lnLP,10476,15.011723934828268,0.8447394880603479,11.918390573078392,17.951565608767744
2025,FSTS,10476,0.027025582283314243,0.11516244297295287,0.0,1.0
2025,FSTSsq,10476,0.013991504390988925,0.08307704391221704,0.0,1.0
2025,TCI_full,10476,0.00013518383171073924,1.000111272144722,-0.4720619403338053,6.332253152868321
2025,DAI_core,10476,0.4178121420389462,0.49322244220876665,0.0,1.0
2025,DAI_epay,10473,0.6584493459371717,0.1477476095526933,0.0,1.0
2025,lnEmp,10476,3.6686113668905884,1.2754172227930385,1.6094379124341003,8.304247465078474
2025,firmage,10476,19.75324551355479,14.316167870511384,1.0,128.0
2025,foreigndummy,10476,0.018995799923634975,0.13651644041156386,0.0,1.0
