wave,model,term,coef,se,p,n,r2_adj
2014,M3_TCI,FSTS,1.7277731680331219,0.23688825843133943,3.0173355690619525e-13,8941,0.0384483525570426
2014,M3_TCI,FSTSsq,-1.3828599869797207,0.25889805476741995,9.226703872241743e-08,8941,0.0384483525570426
2014,M3_TCI,TCI_full,0.1190055682080417,0.015553728059898733,1.9902436867617754e-14,8941,0.0384483525570426
2014,M3_TCI,lnEmp,0.07225913995922721,0.011751084604527496,7.79010346395083e-10,8941,0.0384483525570426
2014,M3_TCI,firmage,-0.0009016713506995661,0.0009939765618860467,0.3643351869115832,8941,0.0384483525570426
2014,M3_TCI,foreigndummy,0.3380810539864938,0.17409754877377365,0.05214849522504486,8941,0.0384483525570426
2014,M3_TCI,FSTS_x_TCI,-0.009845706518115867,0.2502437152897049,0.9686157515733722,8941,0.0384483525570426
2014,M3_TCI,FSTSsq_x_TCI,-0.01752206053088358,0.27090515630205225,0.9484290369214733,8941,0.0384483525570426
2014,M4_DAI_tier1,FSTS,1.2654718942029215,0.5405651532021073,0.019231321820258808,8941,0.04972946051759353
2014,M4_DAI_tier1,FSTSsq,-0.7575543788051139,0.606607947377873,0.2117247404079865,8941,0.04972946051759353
2014,M4_DAI_tier1,DAI_core,0.3921912928367003,0.030914530981862465,7.042730000303384e-37,8941,0.04972946051759353
2014,M4_DAI_tier1,lnEmp,0.0427812621364407,0.012065965277303388,0.0003916986893374477,8941,0.04972946051759353
2014,M4_DAI_tier1,firmage,-0.000976135601009888,0.0009818375070806938,0.3201291016058533,8941,0.04972946051759353
2014,M4_DAI_tier1,foreigndummy,0.3760907538909771,0.17298303194619122,0.02969400435591016,8941,0.04972946051759353
2014,M4_DAI_tier1,FSTS_x_DAI,0.23567896141070616,0.5945416850237092,0.691806694008499,8941,0.04972946051759353
2014,M4_DAI_tier1,FSTSsq_x_DAI,-0.48364120647937114,0.6640765443210813,0.46643525303568767,8941,0.04972946051759353
2022,M3_TCI,FSTS,0.9796644427907755,0.2518027135012358,9.99953375105383e-05,9300,0.11136153593677423
2022,M3_TCI,FSTSsq,-1.331907664492411,0.26808053534749454,6.753833369112204e-07,9300,0.11136153593677423
2022,M3_TCI,TCI_full,0.1854134957286037,0.0146158035720487,7.086562996003777e-37,9300,0.11136153593677423
2022,M3_TCI,lnEmp,0.2086618084017787,0.009291808853068843,1.1048074068293596e-111,9300,0.11136153593677423
2022,M3_TCI,firmage,-0.0001476976026439751,0.0008842709604668682,0.8673483800328803,9300,0.11136153593677423
2022,M3_TCI,foreigndummy,0.21532622120984415,0.110729165964013,0.05182065369764735,9300,0.11136153593677423
2022,M3_TCI,FSTS_x_TCI,0.12751087928862076,0.16781303865898137,0.4473508711137909,9300,0.11136153593677423
2022,M3_TCI,FSTSsq_x_TCI,-0.3308660142164235,0.1813708178257172,0.06811403589536252,9300,0.11136153593677423
2022,M4_DAI_tier1,FSTS,0.12378279170081652,0.5711110519708984,0.8284107246137358,9300,0.1144986632650783
2022,M4_DAI_tier1,FSTSsq,-0.19465741918038137,0.5862470646751246,0.7398591275079239,9300,0.1144986632650783
2022,M4_DAI_tier1,DAI_core,0.38260221581814424,0.0269094628078829,7.071840513712349e-46,9300,0.1144986632650783
2022,M4_DAI_tier1,lnEmp,0.20308239514457305,0.009567442766709943,5.447595060429998e-100,9300,0.1144986632650783
2022,M4_DAI_tier1,firmage,0.00029179211175399573,0.0008814594675422949,0.740619610639889,9300,0.1144986632650783
2022,M4_DAI_tier1,foreigndummy,0.23901341462502432,0.108623662284378,0.027779892997402404,9300,0.1144986632650783
2022,M4_DAI_tier1,FSTS_x_DAI,1.4232953276109466,0.6097540008590187,0.019584604835025082,9300,0.1144986632650783
2022,M4_DAI_tier1,FSTSsq_x_DAI,-1.8898282364162786,0.6326927986293549,0.002817663611408229,9300,0.1144986632650783
2025,M3_TCI,FSTS,-0.2705594478569895,0.20551581270310568,0.18800973774311047,10476,0.10875578942718445
2025,M3_TCI,FSTSsq,-0.22451784194887825,0.26093201987265074,0.38954338773853314,10476,0.10875578942718445
2025,M3_TCI,TCI_full,-0.08404257669248835,0.008500303433843873,4.739776117907281e-23,10476,0.10875578942718445
2025,M3_TCI,lnEmp,0.22968699805230644,0.006853764498118616,3.16594865646026e-246,10476,0.10875578942718445
2025,M3_TCI,firmage,0.0004829131087760504,0.0006065078483626208,0.42590472119210554,10476,0.10875578942718445
2025,M3_TCI,foreigndummy,0.2643631802185501,0.057309290115241406,3.970508312353988e-06,10476,0.10875578942718445
2025,M3_TCI,FSTS_x_TCI,0.20414771357401695,0.094359384015335,0.030501777859956523,10476,0.10875578942718445
2025,M3_TCI,FSTSsq_x_TCI,-0.1721333266338675,0.12210669914230789,0.15862946326087668,10476,0.10875578942718445
2025,M4_DAI_tier1,FSTS,-1.1275054863477973,0.46476488715392233,0.015267549208790603,10476,0.10246554155492671
2025,M4_DAI_tier1,FSTSsq,0.9189204687711452,0.6284133262876038,0.14366265303488399,10476,0.10246554155492671
2025,M4_DAI_tier1,DAI_core,-0.030549806871591756,0.018439378754710033,0.09756601373562689,10476,0.10246554155492671
2025,M4_DAI_tier1,lnEmp,0.21845984197538323,0.007240298250013148,5.39361947980236e-200,10476,0.10246554155492671
2025,M4_DAI_tier1,firmage,-3.0171068210113616e-06,0.0006064502432694784,0.9960305185016494,10476,0.10246554155492671
2025,M4_DAI_tier1,foreigndummy,0.255391995691312,0.05739639926942718,8.602354482794026e-06,10476,0.10246554155492671
2025,M4_DAI_tier1,FSTS_x_DAI,0.8957534947495925,0.48856269276804304,0.06673621738827079,10476,0.10246554155492671
2025,M4_DAI_tier1,FSTSsq_x_DAI,-1.2313389795290506,0.6591894756388773,0.06176777208586647,10476,0.10246554155492671
2025,M4b_DAI_tier2,FSTS,2.4543405142646306,0.9972352048014761,0.01384943513340583,10473,0.12375657524346029
2025,M4b_DAI_tier2,FSTSsq,-2.5461255131794736,1.5330790391279496,0.09675521406635465,10473,0.12375657524346029
2025,M4b_DAI_tier2,DAI_epay,0.8869231207827811,0.06071288794856163,2.479824601713815e-48,10473,0.12375657524346029
2025,M4b_DAI_tier2,lnEmp,0.1930147955118813,0.0068185074970497465,2.7953977251083618e-176,10473,0.12375657524346029
2025,M4b_DAI_tier2,firmage,-6.35323143367954e-05,0.0006010555007996997,0.9158193930633608,10473,0.12375657524346029
2025,M4b_DAI_tier2,foreigndummy,0.23597772636485223,0.05944714380260692,7.201196947902062e-05,10473,0.12375657524346029
2025,M4b_DAI_tier2,FSTS_x_DAIepay,-4.021717151238968,1.3865593292072707,0.0037256628049707227,10473,0.12375657524346029
2025,M4b_DAI_tier2,FSTSsq_x_DAIepay,3.3907860440072195,2.060593887542721,0.09985886298719933,10473,0.12375657524346029
