term,b_2014,se_2014,b_2025,se_2025,z_pat,p_pat,n_clusters_2014,n_clusters_2025
FSTS,1.8645037981897765,0.5518229616657472,-0.35906829958980935,0.3137061540172943,-3.5030128617151246,0.00046002724991978106,23,24
FSTSsq,-1.5081536399173754,0.5387774587936096,-0.16037101138218235,0.2993186629131306,2.1867581239094984,0.02876018597439578,23,24
