term,b_2014,se_2014,b_2025,se_2025,z_pat,p_pat
FSTS,1.8645037981897765,0.2350586262382905,-0.35906829958980935,0.15254956979662487,-7.9350598145731,1.9984014443252818e-15
FSTSsq,-1.5081536399173754,0.2542524069792044,-0.16037101138218235,0.19898690004735298,4.1744811217490865,2.9866598322936255e-05
