seq,title,authors,year,journal,doi_enriched,doi_source,study_id,effect_id,country,sample_start,sample_end,n,r,r_quadratic,turning_point,icrv,cdai,cdai_source,cdai_missing,dpl,doi_type,fp_type,is_estimated,is_partial,is_panel,endogeneity_corrected,include_flag,notes,prescreen_flag,prescreen_reason,prescreen_icrv,prescreen_doi_type,prescreen_fp_type,l2_deep_flag,l2_deep_reason,priority,dedup_status,dedup_key
25,Product innovation strategy and firm performance: Novelty and internationalization as mediators,"Kagere, Bashir Rajab; Mwebaze, Tom; Kilimani, Nicholas; Egbetokun, Abiodun",2026,JOURNAL OF SMALL BUSINESS MANAGEMENT,10.1080/00472778.2026.2640356,crossref_score=75,Kagere_2026,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|firm-performance,,other,firm_performance,Y,L2:title-I+P-confirmed,Medium,new_unique,kagere_2026
26,"Enhancing CSR performance in emerging market firms: The effects of pro-market reforms, government support, and internationalization","Ahmed, Muhammad; Shu, Chengli; Luo, Dan; Ali, Adnan",2026,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2026.116151,crossref_score=84,Ahmed_2026,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,2,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,ahmed_2026
27,Non-linear Effects of Advertising Spending on Firm Performance: A Fixed-effects Panel Analysis of the Moderating Role of Internationalization,"Kaur, Navjot; Singh, Balwinder",2026,GLOBAL BUSINESS REVIEW,10.1177/09721509261437526,crossref_score=80,Kaur_2026,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|firm-performance,,other,firm_performance,Y,L2:title-I+P-confirmed,Medium,new_unique,kaur_2026
31,The effect of ESG performance on enterprises' internationalization : from the perspective of cooperative research and development,"Li, Qianwen",2025,APPLIED ECONOMICS LETTERS,,crossref_no_match,Li_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,li_2025
32,"Clean, competitive, and productive? The impact of environment-friendly technologies on exporting and productivity of the manufacturing companies in Belarus","Shershunovich, Yauheniya; Mirzabaev, Alisher",2025,NATURAL RESOURCES FORUM,10.1111/1477-8947.12525,crossref_score=88,Shershunovich_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:exporter+fp-confirmed,UNSURE,WEAK-INCL:exporter,,,,Y,L2:exporter+fp-confirmed,Low,new_unique,shershunovich_2025
33,The effect of restructuring internationalized companies on performance: Evidence from European firms,"Forcadell, Francisco Javier; Romero-Jordan, Desiderio; Sanchez-Riofrio, Angelica; Guerras-Martin, Luis Angel",2025,EUROPEAN MANAGEMENT REVIEW,10.1111/emre.12672,crossref_score=70,Forcadell_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,forcadell_2025
36,Moderating roles of spatial and temporal internationalization on the product diversification-performance relationship of emerging market multinational enterprises,"Yang, Yi; Li, Xiaoyuan; Zhang, Ximeng",2025,ASIAN BUSINESS & MANAGEMENT,10.1057/s41291-024-00280-7,crossref_score=78,Yang_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|MNE,2,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,yang_2025
38,Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD performance,"Sousa, Carlos M. P.; Tsinopoulos, Christos; Yan, Ji; Benito, Gabriel R. G.",2025,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0039,crossref_score=64,Sousa_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:exporter+fp-confirmed,UNSURE,WEAK-INCL:exporter,,,,Y,L2:exporter+fp-confirmed,Low,new_unique,sousa_2025
41,"Digital Transformation, Internationalisation and ESG Performance of Multinational Companies","Xu, Xin; Sun, Meiya",2025,MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.4496,crossref_score=62,Xu_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|MNE,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,xu_2025
42,"Internal R&D, family ownership and product innovation performance of entrepreneurial ventures in Vietnam: the moderating roles of informal exchange and internationalization","Vo, Dut Van; Nguyen, Yen Hoang; Nguyen, Dang Huu",2025,ASIA PACIFIC BUSINESS REVIEW,10.1080/13602381.2025.2450465,crossref_score=81,Vo_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,2,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,vo_2025
43,Configuring international entrepreneurial orientation and dynamic internationalization capability to predict international performance,"Mostafiz, Md Imtiaz; Ahmed, Farhad Uddin; Tardios, Janja; Hughes, Paul; Tarba, Shlomo Y.",2025,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2024.102275,crossref_score=84,Mostafiz_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,mostafiz_2025
46,"Does Maintaining Resources, Diversification, and Internationalization Matter for Achieving High Firm Performance? A Sustainable Competitiveness Strategy for China Taipei Firms","Anggara, Ali Akbar; Aryoko, Yudhistira Pradhipta; Dewandaru, Rhis Ogie; Kharismasyah, Alfato Yusnar; Fatchan, Ilham Nuryana",2025,SUSTAINABILITY,10.3390/su17041576,crossref_score=95,Anggara_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|firm-performance,2,other,firm_performance,Y,L2:title-I+P-confirmed,Medium,new_unique,anggara_2025
50,Overcoming the ESG Voids at Home: Supplier ESG Performance and the Internationalization of Emerging Market Multinational Enterprises,"Yu, Pei; Chen, Yilan; Zhao, Yumiao",2025,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-025-00573-9,crossref_score=90,Yu_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|MNE,2,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,yu_2025
53,The role of intellectual capital and women managers in the internationalization-performance relationship: An analysis of Spanish hotel firms,"Andreu, Rosario; Rienda, Laura; Ruiz-Fernandez, Lorena",2025,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2025.115378,crossref_score=72,Andreu_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,andreu_2025
54,"Bribery, local network, and local performance among multinational corporations: a moderated mediation model of informal competition","Chiao, Yu-Ching; Chang, Yu-Chen; Lin, Chun-Chien",2025,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-04-2024-0284,crossref_score=92,Chiao_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:MNE,,other,,Y,L2:title-I+P-confirmed,Low,new_unique,chiao_2025
55,Internationalization rhythm and corporate innovation performance in an emerging market,"Wang, Ziyi; Fang, Xiuyuan; Li, Yuanxu",2025,MANAGEMENT DECISION,,crossref_no_match,Wang_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,2,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,wang_2025
56,"Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives in southeastern Spain's rural economy","Martos-Pedrero, Antonio; Cortes-Garcia, Francisco Joaquin; Abad-Segura, Emilio; Belmonte-Urena, Luis J.",2025,JOURNAL OF RURAL STUDIES,10.1016/j.jrurstud.2025.103682,crossref_score=82,MartosPedrero_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|financial-perf,,other,financial_perf,Y,L2:title-I+P-confirmed,Medium,new_unique,martospedrero_2025
62,"Financial performance shortfalls, innovation performance shortfalls and returnee executives: does the internationalization of firms matter?","Zhong, Xi; Ren, Ge; Wu, Xiaojie",2025,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0045,crossref_score=105,Zhong_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|financial-perf,,other,financial_perf,Y,L2:title-I+P-confirmed,Medium,new_unique,zhong_2025
65,"Firm-Level Carbon Productivity, Home Country Environmental Performance, and Firm Performance in the Exporting Meat Industry","Geldres-Weiss, Valeska V.; Guerrero-Stuardo, Pedro E.; Marinova, Svetla; Ortiz-Cea, Vesnia; Reveco, Roberto",2025,SUSTAINABILITY,10.3390/su17125381,crossref_score=98,GeldresWeiss_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:prescreen-Y+fp=firm_performance,Y,INCL:exporter|firm-performance,,,firm_performance,Y,L2:prescreen-Y+fp=firm_performance,Low,new_unique,geldresweiss_2025
68,The Impact of Internationalization on Firm Performance of High-Tech Companies in Poland in the Context of Covid-19,"Bukalska, Elzbieta; Czerniak, Jakub; Florek, Irmina",2025,INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,10.5755/j01.ee.36.3.31403,crossref_score=72,Bukalska_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|firm-performance,3,other,firm_performance,Y,L2:title-I+P-confirmed,Medium,new_unique,bukalska_2025
75,"The Moderating Effect of Multinationality on Environmental, Social, and Governance and Efficiency: A Strategic Analysis of Multinational Enterprises","Le, Minh-Hieu; Lu, Wen-Min",2025,BUSINESS STRATEGY AND THE ENVIRONMENT,10.1002/bse.70126,crossref_score=67,Le_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:MNE,,other,,Y,L2:title-I+P-confirmed,High,new_unique,le_2025
76,Effects of internationalization on supply chain agility and business performance of manufacturing firms in Vietnam,"Nguyen, Ngoc Minh; Nguyen, Huong Thi Lien; Mai, Cuong The; Pham, Ngoc Thi Kim; Nguyen, Huyen Thi",2025,JOURNAL OF GLOBAL OPERATIONS AND STRATEGIC SOURCING,10.1108/jgoss-10-2024-0102,crossref_score=68,Nguyen_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,2,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,nguyen_2025
77,"Open innovation, market orientation, intellectual capital readiness and higher education institutions' internationalisation performance: the moderating role of entrepreneurial leadership","Tran, Ai-Cam; Dao, Thu-Hien Thi",2025,JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT,10.1504/jibed.2025.10071182,crossref_score=93,Tran_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,tran_2025
78,Foreign direct investment strategies and corporate social performance in emerging multinational enterprises: driving sustainability amidst supply chain restructuring,"Shih, Yu-Yuan; Lin, Chih-An",2025,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-01-2025-0047,crossref_score=97,Shih_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:MNE|FDI,,FDI,,Y,L2:title-I+P-confirmed,Medium,new_unique,shih_2025
80,RMB internationalization and firms' total factor productivity-micro-analysis based on the dual circulation perspective,"Chang, Yali; Wu, Yijie; Lv, Yue",2025,ASIA-PACIFIC JOURNAL OF ACCOUNTING & ECONOMICS,10.1080/16081625.2025.2596994,crossref_score=77,Chang_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|productivity,,other,TFP,Y,L2:title-I+P-confirmed,Medium,new_unique,chang_2025
81,Comparative Study on the Impact of Ownership Concentration on Internationalization and Performance: Family versus Non-family Firms in Korea,"Shin, Joon-Ho; Choi, Chang-Bum",2025,JOURNAL OF KOREA TRADE,10.35611/jkt.2025.29.6.173,crossref_score=73,Shin_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,1,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,shin_2025
85,Internationalisation and the Financial Performance of Companies,"Rozanski, Jerzy; Lopez-Morales, Jose Satsumi; Bogolebska, Justyna",2025,FOLIA OECONOMICA STETINENSIA,,crossref_no_match,Rozanski_2025,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|financial-perf,,other,financial_perf,Y,L2:title-I+P-confirmed,Medium,new_unique,rozanski_2025
90,Firm internationalization approaches and performance: the moderating role of the home country's formal institutions,"da Cunha, Henrique Correa; Amal, Mohamed; Floriani, Dinora Eliete; Fleury, Maria Tereza Leme",2024,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-08-2021-1299,crossref_score=67,Cunha_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,2,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,cunha_2024
91,How does corporate internationalization affect the link between social responsibility and financial performance? Evidence from China,"Wang, Xuetong; Feng, Xu; He, Yujun; Cui, Xuezhu; Song, Xiangnan; Xi, Mingbo; Liu, Jingkuang",2024,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,10.1080/09640568.2023.2189057,crossref_score=74,Wang_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|financial-perf,2,other,financial_perf,Y,L2:title-I+P-confirmed,Medium,new_unique,wang_2024
95,The impact of degree of internationalization of MNEs on green innovation performance: The moderating role of absorptive capacity and global dynamic management capability,"Zhang, Wei; Zhong, Xiuli; Li, Xue",2024,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.2592,crossref_score=76,Zhang_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|DOI,,DOI,,Y,L2:title-I+P-confirmed,Medium,new_unique,zhang_2024
98,Exporting is a team sport: the link between management training and performance in SMEs,"Idris, Bochra; Saridakis, George; Georgellis, Yannis; Lai, Yanqing; Johnstone, Stewart",2024,INTERNATIONAL JOURNAL OF MANPOWER,10.1108/ijm-03-2023-0150,crossref_score=63,Idris_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:exporter+fp-confirmed,UNSURE,WEAK-INCL:exporter,,,,Y,L2:exporter+fp-confirmed,Low,new_unique,idris_2024
99,The internationalization and performance of INVs: Liability or learning advantages of newness?,"Khatua, Apalak; Mondal, Arindam; Dhanda, Supria",2024,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-023-00345-2,crossref_score=74,Khatua_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,khatua_2024
100,"External environment and internal dynamics of ""born global"": strategic and operational firm performance","Chaudhuri, Ranjan; Vrontis, Demetris; Chatterjee, Sheshadri",2024,MANAGEMENT DECISION,10.1108/md-02-2023-0168,crossref_score=70,Chaudhuri_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:prescreen-Y+fp=firm_performance,Y,INCL:firm-performance,,,firm_performance,Y,L2:prescreen-Y+fp=firm_performance,Low,new_unique,chaudhuri_2024
104,Total factor productivity in Kenyan manufacturing firms: The role of ISO certification and direct vs indirect export intensity,"Amutabi, Cyprian",2024,SOUTH AFRICAN JOURNAL OF ECONOMICS,10.1111/saje.12372,crossref_score=102,Amutabi_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,UNSURE,WEAK-INCL:productivity,,export_ratio,TFP,Y,L2:title-I+P-confirmed,High,new_unique,amutabi_2024
108,The Performance of Decision-Making Strategies in SME Internationalization: The Role of Host Market's Institutional Development,"Johanson, Martin; Oliveira, Luis",2024,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-024-00534-8,crossref_score=68,Johanson_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,johanson_2024
110,THE INFLUENCE OF INTERNATIONALIZATION ON THE FINANCIAL PERFORMANCE OF BRAZILIAN AND EUROPEAN COMPANIES,"Filho, Antonio rodrigues albuquerque; Garcia, E. D. I. T. I. N. E. T. E. ANDRe D. A. R. O. C. H. A.; de Vasconcelos, Alessandra carvalho",2024,REVISTA GESTAO ORGANIZACIONAL,,crossref_no_match,Filho_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|financial-perf,2,other,financial_perf,Y,L2:title-I+P-confirmed,Medium,new_unique,filho_2024
111,Effects of female CEO and female CFO on internationalization and firm performance,"Amin, Ali; Ali, Rizwan; Rehman, Ramiz Ur",2024,CORPORATE GOVERNANCE-THE INTERNATIONAL JOURNAL OF BUSINESS IN SOCIETY,10.1108/cg-12-2022-0512,crossref_score=70,Amin_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|firm-performance,,other,firm_performance,Y,L2:title-I+P-confirmed,Medium,new_unique,amin_2024
112,Global Competitive Strategies: Assessing the Role of Marketing Tools in SME Internationalization and Financial Performance,"Civelek, Mehmet; Kljucnikov, Aleksandr; Hruska, Roman; Svetlik, Jaroslav; Vavrecka, Vladimir",2024,JOURNAL OF COMPETITIVENESS,,crossref_no_match,Civelek_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|financial-perf,,other,financial_perf,Y,L2:title-I+P-confirmed,Medium,new_unique,civelek_2024
114,The Internationalization-Environmental Performance Relationship: Does it Differ between MNEs in Advanced and Less Advanced Economies?,"Zhang, Jintao; Chen, Stephen; Tan, Hao",2024,BUSINESS STRATEGY AND THE ENVIRONMENT,10.1002/bse.3797,crossref_score=80,Zhang_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,1,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,zhang_2024
117,Internationalization and individual firm performance: a resource-based view,"Arbelo, Antonio; Arbelo-Perez, Marta; Perez-Gomez, Pilar",2024,EURASIAN BUSINESS REVIEW,10.1007/s40821-024-00276-5,crossref_score=65,Arbelo_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|firm-performance,,other,firm_performance,Y,L2:title-I+P-confirmed,Medium,new_unique,arbelo_2024
119,Analysis the nexus between internationalization and financial performance in wine industry: The effect of proactive environmental strategy and eco-innovation,"Carchano, Marcos; Carrasco, Inmaculada; Gonzalez, Angela; Saez-Martinez, Francisco J.",2024,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.2894,crossref_score=81,Carchano_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|financial-perf,,other,financial_perf,Y,L2:title-I+P-confirmed,Medium,new_unique,carchano_2024
120,"Environmental, social and governance performance: Can and how it improve internationalization of Chinese A-share listed enterprises","Wang, Shanshan; Chen, Fenglan; Yang, Xiaoyan",2024,HELIYON,10.1016/j.heliyon.2024.e33492,crossref_score=70,Wang_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,2,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,wang_2024
125,Role of resource investment management and strategic resource deployment capabilities in internationalization-performance relationship,"Purkayastha, Anish; Karna, Amit; Sharma, Sunil; Bhadra, Dhiman",2024,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2024.101122,crossref_score=81,Purkayastha_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,purkayastha_2024
128,THE MODERATING EFFECT OF WOMEN MANAGERS IN THE INTERNATIONALISATION AND INTELLECTUAL CAPITAL-PERFORMANCE RELATIONSHIP,"Andreu, Rosario; Rienda, Laura; Ruiz-Fernandez, Lorena",2024,TRANSFORMATIONS IN BUSINESS & ECONOMICS,,crossref_no_match,Andreu_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,andreu_2024
132,"When market leads innovation: The interplay of internationalisation, innovation and productivity among Swedish wood manufacturing SMEs","Hosseini, Mojtaba; Brege, Staffan; Nord, Tomas",2024,WORLD ECONOMY,10.1111/twec.13639,crossref_score=91,Hosseini_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,hosseini_2024
134,The role of internationalisation in moderating the impact of ESG disclosure on financial performance,"Soesetio, Yuli; Siswanto, Ely; Subagyo, Muhammad; Fuad, Muhammad; Rudiningtyas, Dyah Arini; Astutik, Siti",2024,ECONOMICS AND BUSINESS REVIEW,10.18559/ebr.2024.3.1217,crossref_score=63,Soesetio_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|financial-perf,,other,financial_perf,Y,L2:title-I+P-confirmed,Medium,new_unique,soesetio_2024
135,ESG and firm performance: The effects of foreigners on board and export orientation,"Wu, Chen-Hui; Nguyen, Thi-Kim-Tuyen",2024,BUSINESS STRATEGY AND DEVELOPMENT,,crossref_no_match,Wu_2024,,,,,,,,,,,,,3,,,,,,,Y,L2:prescreen-Y+fp=firm_performance,Y,INCL:firm-performance,,,firm_performance,Y,L2:prescreen-Y+fp=firm_performance,Low,new_unique,wu_2024
