id,title,authors,year,journal,doi,screen_decision,screen_reason
S0337,Motivation of internationalization and a moderating role of environmental conditions in the hospitality industry,"Song, Sujin; Lee, Seoki",2020,TOURISM MANAGEMENT,,N,title_exclusion_pattern
S0349,Impact of Research and Development Strategy on Sustainable Growth in Multinational Pharmaceutical Companies,"Teramae, Fumio; Makino, Tomohiro; Lim, Yeongjoo; Sengoku, Shintaro; Kodama, Kota",2020,SUSTAINABILITY,10.3390/su12135358,N,title_exclusion_pattern
S0746,Internationalization of US multinational hotel companies: Expansion to Asia versus Europe,"Lee, Seoki",2008,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,10.1016/j.ijhm.2007.09.002,N,title_exclusion_pattern
