study_id,wos_id,authors,year,title,journal,doi,n_sample,country,screen_l1,screen_l1_reason,screen_l2,screen_l2_reason,eligible,doi_measure,fp_measure,r_reported,n_used,notes
S0031,000176246800004,"Vermeulen, F; Barkema, H",2002,"Pace, rhythm, and scope: Process dependence in building a profitable multinational corporation",STRATEGIC MANAGEMENT JOURNAL,,,,Y,ip_firm_match,,,,,,,,wos
S0032,000183984600002,"Contractor, FJ; Kundu, SK; Hsu, CC",2003,A three-stage theory of international expansion: the link between multinationality and performance in the service sector,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,Y,ip_perf_match,,,,,,,,wos
S0033,000178080100004,"Ibeh, KIN",2003,Toward a contingency framework of export entrepreneurship: Conceptualisations and empirical evidence,SMALL BUSINESS ECONOMICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0034,000183046700006,"Tihanyi, L; Johnson, RA; Hoskisson, RE; Hitt, MA",2003,Institutional ownership differences and international diversification: The effects of boards of directors and technological opportunity,ACADEMY OF MANAGEMENT JOURNAL,,,,UNSURE,title_insufficient,,,,,,,,wos
S0035,000183727800001,"Delios, A; Henisz, WJ",2003,"Policy uncertainty and the sequence of entry by Japanese firms, 1980-1998",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0036,000182982900004,"Whitley, R; Morgan, G; Kelly, W; Sharpe, D",2003,"The changing Japanese multinational: Application, adaptation and learning in car manufacturing and financial services",JOURNAL OF MANAGEMENT STUDIES,,,,Y,ip_firm_match,,,,,,,,wos
S0037,000185052500006,"Zahra, SA",2003,International expansion of US manufacturing family businesses: the effect of ownership and involvement,JOURNAL OF BUSINESS VENTURING,,,,UNSURE,title_insufficient,,,,,,,,wos
S0038,000184209800003,"Capar, N; Kotabe, M",2003,The relationship between international diversification and performance in service firms,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0039,000183588200002,"Dhanaraj, C; Beamish, PW",2003,A resource-based approach to the study of export performance,JOURNAL OF SMALL BUSINESS MANAGEMENT,,,,Y,ip_perf_match,,,,,,,,wos
S0040,000184606900001,"Majocchi, A; Zucchella, A",2003,Internationalization and performance - Findings from a set of Italian SMEs,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,,,,Y,ip_perf_match,,,,,,,,wos
