study_id,wos_id,authors,year,title,journal,doi,n_sample,country,screen_l1,screen_l1_reason,screen_l2,screen_l2_reason,eligible,doi_measure,fp_measure,r_reported,n_used,notes
S0486,000332548800006,"Cincera, Michele; Ravet, Julien",2014,"Globalisation, industrial diversification and productivity growth in large European R&D companies",JOURNAL OF PRODUCTIVITY ANALYSIS,,,,Y,ip_perf_match,,,,,,,,wos
S0487,000340016100008,"Huang, Kai-Ping; Lo, Sheng Chung; Liu, Chu-Mei; Tung, Jane",2014,Internationalisation of Family Business: The Effect of Ownership and Generation Involvement,ANTHROPOLOGIST,,,,Y,ip_firm_match,,,,,,,,wos
S0488,000336465500005,"Rhou, Yinyoung; Koh, Yoon",2014,International expansion of US full-service restaurants: Positive and increasing effects on financial performance,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0489,000332391800002,"Zahra, Shaker A.",2014,Public and Corporate Governance and Young Global Entrepreneurial Firms,CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0490,000334089100020,"Buch, Claudia M.; Koch, Catherine T.; Koetter, Michael",2014,Should I stay or should I go? Bank productivity and internationalization decisions,JOURNAL OF BANKING & FINANCE,,,,Y,ip_perf_match,,,,,,,,wos
S0491,000335453300004,"Graves, Chris; Shan, Yuan George",2014,An Empirical Analysis of the Effect of Internationalization on the Performance of Unlisted Family and Nonfamily Firms in Australia,FAMILY BUSINESS REVIEW,,,,Y,ip_perf_match,,,,,,,,wos
S0492,000409784400005,"Lofgren, Angelika",2014,International network management for the purpose of host market expansion: The mediating effect of co-innovation in the networks of SMEs,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,,,UNSURE,title_insufficient,,,,,,,,wos
S0493,000338809900005,"Zhang, Yan Anthea; Li, Yu; Li, Haiyang",2014,FDI SPILLOVERS OVER TIME IN AN EMERGING MARKET: THE ROLES OF ENTRY TENURE AND BARRIERS TO IMITATION,ACADEMY OF MANAGEMENT JOURNAL,,,,UNSURE,title_insufficient,,,,,,,,wos
S0494,000335440600002,"Hilmersson, Mikael",2014,Small and medium-sized enterprise internationalisation strategy and performance in times of market turbulence,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,,,,Y,ip_perf_match,,,,,,,,wos
S0495,000334085300024,"Tsai, Huei-Ting",2014,Moderators on international diversification of advanced emerging market firms,JOURNAL OF BUSINESS RESEARCH,,,,UNSURE,title_insufficient,,,,,,,,wos
S0496,000335630000007,"Conti, Giuliano; Lo Turco, Alessia; Maggioni, Daniela",2014,Spillovers through backward linkages and the export performance of business services. Evidence from a sample of Italian firms,INTERNATIONAL BUSINESS REVIEW,,,,Y,ip_perf_match,,,,,,,,wos
S0497,000335616500029,"Boly, Amadou; Coniglio, Nicola Daniele; Prota, Francesco",2014,Diaspora Investments and Firm Export Performance in Selected Sub-Saharan African Countries,WORLD DEVELOPMENT,,,,Y,ip_perf_match,,,,,,,,wos
S0498,000334077200002,"Dachs, Bernhard",2014,Internationalisation of R&D: A Brief Survey of the Literature,INTERNATIONALISATION OF BUSINESS R&D,,,,UNSURE,title_insufficient,,,,,,,,wos
S0499,000338613100010,"Lin, Wen-Ting",2014,How do managers decide on internationalization processes? The role of organizational slack and performance feedback,JOURNAL OF WORLD BUSINESS,,,,Y,ip_perf_match,,,,,,,,wos
S0500,000337772100004,"Dai, Li; Maksimov, Vladislav; Gilbert, Brett Anitra; Fernhaber, Stephanie A.",2014,"Entrepreneurial orientation and international scope: The differential roles of innovativeness, proactiveness, and risk-taking",JOURNAL OF BUSINESS VENTURING,,,,UNSURE,title_insufficient,,,,,,,,wos
S0501,000409503300006,"Alimadadi, Siavash; Pahlberg, Cecilia",2014,A network view of MNC embeddedness in a politically uncertain market: the case of Turkey,BUSINESS AND POLITICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0502,000337978100001,"Zahra, Shaker A.; Wright, Mike; Abdelgawad, Sondos G.",2014,Contextualization and the advancement of entrepreneurship research,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,,,,UNSURE,title_insufficient,,,,,,,,wos
S0503,000338613100002,"Jimenez, Alfredo; Luis-Rico, Isabel; Benito-Osorio, Diana",2014,The influence of political risk on the scope of internationalization of regulated companies: Insights from a Spanish sample,JOURNAL OF WORLD BUSINESS,,,,Y,ip_firm_match,,,,,,,,wos
S0504,000339676500004,"Wang, Chi-Feng",2014,International diversification and firm performance: the moderating effects of corporate governance,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0505,000339538700013,"Kang, Kyung Ho; Lee, Seoki",2014,The moderating role of brand diversification on the relationship between geographic diversification and firm performance in the US lodging industry,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0506,000362446000002,"Montolio, Daniel; Trillas, Francesc; Trujillo-Baute, Elisa",2014,Regulatory Environment and Firm Performance in EU Telecommunications Services,REVIEW OF NETWORK ECONOMICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0507,000409788200005,"Teixeira, Aurora A. C.; Coimbra, Catia",2014,The determinants of the internationalization speed of Portuguese university spin-offs: An empirical investigation,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,,,UNSURE,title_insufficient,,,,,,,,wos
S0508,000342410800005,"Zhang, Xiao; Ma, Xufei; Wang, Yue; Wang, Yangwen",2014,How can emerging market small and medium-sized enterprises maximise internationalisation benefits? The moderating effect of organisational flexibility,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,,,,UNSURE,title_insufficient,,,,,,,,wos
S0509,000342673000011,"Chen, Hsiang-Lan; Hsu, Wen-Tsung; Chang, Chiao-Yi",2014,"Family Ownership, Institutional Ownership, and Internationalization of SMEs",JOURNAL OF SMALL BUSINESS MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0510,000342224800001,"Azar, Goudarz; Drogendijk, Rian",2014,"Psychic Distance, Innovation, and Firm Performance",MANAGEMENT INTERNATIONAL REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0511,000341408400001,"Imbriani, Cesare; Morone, Piergiuseppe; Testa, Giuseppina",2014,"Innovation, quality and exports: The case of Italian SMEs",JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0512,000340220100021,"Karabag, Solmaz Filiz; Berggren, Christian",2014,"Antecedents of firm performance in emerging economies: Business groups, strategy, industry structure, and state support",JOURNAL OF BUSINESS RESEARCH,,,,UNSURE,title_insufficient,,,,,,,,wos
S0513,000341869200006,"Hsu, Chin-Chun; Tan, Keah Choon; Laosirihongthong, Tritos",2014,"Antecedents of SCM practices in ASEAN automotive industry Corporate entrepreneurship, social capital, and resource-based perspectives",INTERNATIONAL JOURNAL OF LOGISTICS MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0514,000341556400010,"Dutot, Vincent; Bergeron, Francois; Raymond, Louis",2014,Information management for the internationalization of SMEs: An exploratory study based on a strategic alignment perspective,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,,,,Y,ip_firm_match,,,,,,,,wos
S0515,000345467100008,"Ataullah, Ali; Le, Hang; Sahota, Amandeep S.",2014,"EMPLOYEE PRODUCTIVITY, EMPLOYMENT GROWTH, AND THE CROSS-BORDER ACQUISITIONS BY EMERGING MARKET FIRMS",HUMAN RESOURCE MANAGEMENT,,,,Y,ip_perf_match,,,,,,,,wos
S0516,000343391300011,"Amendolagine, Vito; Capolupo, Rosa; Ferri, Giovanni",2014,"Innovativeness, offshoring and black economy decisions. Evidence from Italian manufacturing firms",INTERNATIONAL BUSINESS REVIEW,,,,Y,ip_firm_match,,,,,,,,wos
S0517,000343391300007,"Markman, Gideon M.; Venzin, Markus",2014,Resilience: Lessons from banks that have braved the economic crisis-And from those that have not,INTERNATIONAL BUSINESS REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0518,000435263800004,"Gashi, Petrit",2014,Human Capital and Export Decisions: The Case of Small and Medium Enterprises in Kosovo,CROATIAN ECONOMIC SURVEY,,,,UNSURE,title_insufficient,,,,,,,,wos
S0519,000344735700006,"Chen, Ying-Yu; Jaw, Yi-Long",2014,"How do business groups' small world networks effect diversification, innovation, and internationalization?",ASIA PACIFIC JOURNAL OF MANAGEMENT,,,,Y,ip_firm_match,,,,,,,,wos
S0520,000344786400005,"Almodovar, Paloma; Saiz-Briones, Javier; Silverman, Brian S.",2014,"Learning through foreign market participation: the relative benefits of exporting, importing, and foreign direct investment",JOURNAL OF TECHNOLOGY TRANSFER,,,,UNSURE,title_insufficient,,,,,,,,wos
S0521,000344871500008,"Lyles, Marjorie; Li, Dan; Yan, Haifeng",2014,Chinese Outward Foreign Direct Investment Performance: The Role of Learning,MANAGEMENT AND ORGANIZATION REVIEW,,,,Y,ip_perf_match,,,,,,,,wos
S0522,000345192800003,"Lin, Ya-Hui; Chen, Chung-Jen; Lin, Bou-Wen",2014,The roles of political and business ties in new ventures: Evidence from China,ASIAN BUSINESS & MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0523,000345823000010,"Casillas, Jose C.; Barbero, Jose L.; Sapienza, Harry J.",2015,"Knowledge acquisition, learning, and the initial pace of internationalization",INTERNATIONAL BUSINESS REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0524,000561304400007,"Ietto-Gillies, Grazia",2015,"Innovation, Internationalization, and the Transnational Corporation","HANDBOOK OF GLOBAL SCIENCE, TECHNOLOGY, AND INNOVATION",,,,Y,ip_firm_match,,,,,,,,wos
S0525,000215076100002,"Kunttu, Anna; Torkkeli, Lasse",2015,Service innovation and internationalization in SMEs: Implications for growth and performance,MANAGEMENT REVUE,,,,Y,ip_perf_match,,,,,,,,wos
S0526,000215331700005,"Cieslik, Andrzej; Michalek, Jan Jakub; Nasadiuk, Iryna",2015,Determinants of Export Performance of Ukrainian Firms,EQUILIBRIUM-QUARTERLY JOURNAL OF ECONOMICS AND ECONOMIC POLICY,,,,Y,ip_perf_match,,,,,,,,wos
S0527,000212674700004,"Asmussen, Christian Geisler; Nielsen, Bo Bernhard; Osegowitsch, Tom; Sammartino, Andre",2015,The dynamics of regional and global expansion,MULTINATIONAL BUSINESS REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0528,000214792800007,"Yuan, Lin; Pangarkar, Nitin",2015,Performance implications of internationalization strategies for Chinese MNCs,INTERNATIONAL JOURNAL OF EMERGING MARKETS,,,,Y,ip_perf_match,,,,,,,,wos
S0529,000435166000001,"Siedschlag, Iulia; Zhang, Xiaoheng",2015,Internationalisation of firms and their innovation and productivity,ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,,,,Y,ip_perf_match,,,,,,,,wos
S0530,000211905200009,"Deakins, David; North, David; Bensemann, Jo",2015,Paradise lost? The case of technology-based small firms in New Zealand in the post-global financial crisis economic environment,VENTURE CAPITAL,,,,UNSURE,title_insufficient,,,,,,,,wos
S0531,000409683500002,"Wach, Krzysztof",2015,Entrepreneurial Orientation and Business Internationalisation Process: The Theoretical Foundations of International Entrepreneurship,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,,,,Y,ip_firm_match,,,,,,,,wos
S0532,000366645100002,"Francioni, Barbara; Musso, Fabio; Cioppi, Marco",2015,Decision-maker characteristics and international decisions for SMEs,MANAGEMENT DECISION,,,,UNSURE,title_insufficient,,,,,,,,wos
S0533,000214085200002,"Fernandez, Juan",2015,The impact of gender diversity in foreign subsidiaries' innovation outputs,INTERNATIONAL JOURNAL OF GENDER AND ENTREPRENEURSHIP,,,,UNSURE,title_insufficient,,,,,,,,wos
S0534,000435166000003,"Battisti, Giuliana; Gallego, Jorge; Rubalcaba, Luis; Windrum, Paul",2015,"Open innovation in services: knowledge sources, intellectual property rights and internationalization",ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,,,,UNSURE,title_insufficient,,,,,,,,wos
S0535,000357386100005,"Faroque, Anisur R.; Takahashi, Yoshi",2015,Export marketing assistance and early internationalizing firm performance Does export commitment matter?,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS,,,,Y,ip_perf_match,,,,,,,,wos
S0536,000360577400002,"Rehman, Naqeeb Ur",2015,Drivers of firms' growth: a case study of software firms in Islamabad/Rawalpindi regions,JOURNAL OF MANAGEMENT DEVELOPMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0537,000356041500009,"Urban, Boris; Sefalafala, Mpho R.",2015,THE INFLUENCE OF ENTREPRENEURIAL INTENSITY AND CAPABILITIES ON INTERNATIONALISATION AND FIRM PERFORMANCE,SOUTH AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT SCIENCES,,,,Y,ip_perf_match,,,,,,,,wos
S0538,000356434400003,"Mai, Yiyuan; Xiong, Chan; He, Xiaobin",2015,The effects of entrepreneurs' socioeconomic status and political characteristics on new ventures' establishment of formal political ties in China,CHINESE MANAGEMENT STUDIES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0539,000355797700004,"El-Said, Hala; Al-Said, Mahmoud; Zaki, Chahir",2015,Trade and access to finance of SMEs: is there a nexus?,APPLIED ECONOMICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0540,000354887400003,"Fuchs, Manfred; Koestner, Mariella",2015,Standardisation and adaptation of firms' export marketing strategies in familiar European and non-familiar non-European markets,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,,,,Y,ip_firm_match,,,,,,,,wos
S0541,000352636700006,"Childs, Michelle L.; Jin, Byoungho",2015,Firm factors that influence internationalisation and subsequent financial performance of fashion retailers,JOURNAL OF SERVICE THEORY AND PRACTICE,,,,Y,ip_perf_match,,,,,,,,wos
S0542,000354649300001,"Cavaliere, Vincenzo; Lombardi, Sara",2015,Exploring different cultural configurations: how do they affect subsidiaries' knowledge sharing behaviors?,JOURNAL OF KNOWLEDGE MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0543,000212980500004,"Sahin, Kader; Artan, Seyfettin; Tuysuz, Seda",2015,The moderating effects of a board of directors on FDI's international diversification in Turkey,INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0544,000347853600003,"Hong, Junjie; Wang, Chengqi; Kafouros, Mario",2015,The Role of the State in Explaining the Internationalization of Emerging Market Enterprises,BRITISH JOURNAL OF MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0545,000346689800003,"Coviello, Nicole",2015,Re-thinking research on born globals,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0546,000346584400008,"El Akremi, Assaad; Perrigot, Rozenn; Piot-Lepetit, Isabelle",2015,Examining the Drivers for Franchised Chains Performance through the Lens of the Dynamic Capabilities Approach,JOURNAL OF SMALL BUSINESS MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0547,000346458600015,"Todo, Yasuyuki; Sato, Hitoshi",2014,Effects of presidents' characteristics on internationalization of small and medium firms in Japan,JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0548,000346329900004,"Cui, Annie Peng; Walsh, Michael F.; Zou, Shaoming",2014,The Importance of Strategic Fit Between Host-Home Country Similarity and Exploration Exploitation Strategies on Small and Medium-Sized Enterprises' Performance: A Contingency Perspective,JOURNAL OF INTERNATIONAL MARKETING,,,,UNSURE,title_insufficient,,,,,,,,wos
S0549,000346783400003,"Petrou, Andreas P.",2014,Bank Foreign Affiliate Performance in the Face of Pervasive and Arbitrary Corruption,EUROPEAN MANAGEMENT REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0550,000348929300007,"Wang, Qingfang; Liu, Cathy Yang",2015,Transnational activities of immigrant-owned firms and their performances in the USA,SMALL BUSINESS ECONOMICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0551,000347363800022,"Sun, Sunny Li; Peng, Mike W.; Lee, Ruby P.; Tan, Weiqiang",2015,Institutional open access at home and outward internationalization,JOURNAL OF WORLD BUSINESS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0552,000348716300002,"Anwar, Sajid; Sun, Sizhong",2015,Foreign direct investment in R&D and domestic entrepreneurship in China's manufacturing industries,APPLIED ECONOMICS,,,,Y,ip_firm_match,,,,,,,,wos
S0553,000409793100003,"Pehrsson, Tobias; Ghannad, Navid; Pehrsson, Anders; Abt, Tobias; Chen, Siyuan; Erath, Fabian; Hammarstig, Tobias",2015,Dynamic capabilities and performance in foreign markets: Developments within international new ventures,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,,,UNSURE,title_insufficient,,,,,,,,wos
S0554,000346355500003,"Majocchi, Antonio; Dalla Valle, Luciana; D'Angelo, Alfredo",2015,"Internationalisation, cultural distance and country characteristics: a Bayesian analysis of SMEs financial performance",JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,,,,Y,ip_perf_match,,,,,,,,wos
S0555,000349289900005,"Weerawardena, Jay; Mort, Gillian Sullivan; Salunke, Sandeep; Knight, Gary; Liesch, Peter W.",2015,The role of the market sub-system and the socio-technical sub-system in innovation and firm performance: a dynamic capabilities approach,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,,,,UNSURE,title_insufficient,,,,,,,,wos
S0556,000411640000002,"Hidalgo, Antonio; Molero, Jose; Granda, Ines; Albors, Jose",2015,Comparative Analysis of Firms' Participation in National and International Programmes to Support Innovation,DIRECCION Y ORGANIZACION,,,,UNSURE,title_insufficient,,,,,,,,wos
S0557,000449009400007,"Grindle, Arani Kajenthira; Siddiqi, Afreen; Anadon, Laura Diaz",2015,Food security amidst water scarcity: Insights on sustainable food production from Saudi Arabia,SUSTAINABLE PRODUCTION AND CONSUMPTION,,,,UNSURE,title_insufficient,,,,,,,,wos
S0558,000436715400005,Thi Thu Tra Pham,2015,Does Exporting Spur Firm Productivity? Evidence from Vietnam,JOURNAL OF SOUTHEAST ASIAN ECONOMIES,,,,Y,ip_perf_match,,,,,,,,wos
S0559,000216510300015,"Monreal-Perez, Joaquin; Aragon-Sanchez, Antonio; Sanchez-Marin, Gregorio",2015,DO EXPORT MARKETS SELECT THE MOST INNOVATIVE PRODUCERS? THE MODERATING ROLE OF PRODUCTIVITY,INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,,,,Y,ip_perf_match,,,,,,,,wos
S0560,000351671700005,"Gaur, Ajai; Delios, Andrew",2015,International Diversification of Emerging Market Firms: The Role of Ownership Structure and Group Affiliation,MANAGEMENT INTERNATIONAL REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0561,000350837800004,"Crescenzi, Riccardo; Gagliardi, Luisa; Iammarino, Simona",2015,Foreign multinationals and domestic innovation: Intra-industry effects and firm heterogeneity,RESEARCH POLICY,,,,Y,ip_firm_match,,,,,,,,wos
S0562,000350092600015,"Wu, Aiqi; Voss, Hinrich",2015,When does absorptive capacity matter for international performance of firms? Evidence from China,INTERNATIONAL BUSINESS REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0563,000350092600002,"Hsu, Chia-Wen; Lien, Yung-Chih; Chen, Homin",2015,R&D internationalization and innovation performance,INTERNATIONAL BUSINESS REVIEW,,,,Y,ip_perf_match,,,,,,,,wos
S0564,000350588000009,"Chen, Yan; Zhai, Rui-Rui; Wang, Chengqi; Zhong, Changbiao",2015,"Home institutions, internationalization and firm performance Evidence from listed Chinese firms",MANAGEMENT DECISION,,,,Y,ip_perf_match,,,,,,,,wos
S0565,000350579000007,"Parte-Esteban, Laura; Alberca-Oliver, Pilar",2015,New insights into dynamic efficiency: the effects of firm factors,INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0566,000352339500003,"Hansen, Jorgen Drud; Kvedaras, Virmantas; Nielsen, Jorgen Ulff-Moller",2015,Creative destruction and export patterns,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0567,000350640100006,"Fuentelsaz, Lucio; Garrido, Elisabet; Maicas, Juan P.",2015,A Strategic Approach to Network Value in Network Industries,JOURNAL OF MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0568,000351184300004,"Bowen, Harry P.; Baker, H. Kent; Powell, Gary E.",2015,Globalization and diversification strategy: A managerial perspective,SCANDINAVIAN JOURNAL OF MANAGEMENT,,,,Y,ip_firm_match,,,,,,,,wos
S0569,000412777300001,"Utama, Cynthia A.; Sulistika, Meiti",2015,Determinants of Investment Opportunity Set (Degree of Internationalization and Macroeconomic Variables),GADJAH MADA INTERNATIONAL JOURNAL OF BUSINESS,,,,N,macroeconomic,,,,,,,,wos
S0570,000213223800015,"Vithessonthi, Chaiporn; Tongurai, Jittima",2015,The effect of leverage on performance: Domestically-oriented versus internationally-oriented firms,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,,,,UNSURE,title_insufficient,,,,,,,,wos
S0571,000352777500007,"Fernandez Olmos, Marta; Diez-Vial, Isabel",2015,Internationalization pathways and the performance of SMEs,EUROPEAN JOURNAL OF MARKETING,,,,Y,ip_perf_match,,,,,,,,wos
S0572,000352863700014,"Cheng, Cheng-Ping; Liang, Lien-Wen; Huang, Chen-Ta",2014,Effect of Internationalization on the Cost Efficiency of Taiwan's Banks,EMERGING MARKETS FINANCE AND TRADE,,,,Y,ip_perf_match,,,,,,,,wos
S0573,000352729800001,"Hagemejer, Jan; Popowski, Piotr",2014,The Distribution of Monopolistic Markups in the Polish Economy,EASTERN EUROPEAN ECONOMICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0574,000352482500008,"Boermans, Martijn Adriaan; Roelfsema, Hein",2015,The Effects of Internationalization on Innovation: Firm-Level Evidence for Transition Economies,OPEN ECONOMIES REVIEW,,,,Y,ip_firm_match,,,,,,,,wos
S0575,000353609500006,"Belderbos, Rene; Lokshin, Boris; Sadowski, Bert",2015,The returns to foreign R&D,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0576,000409794900002,"De Noni, Ivan; Apa, Roberta",2015,The moderating effect of exploitative and exploratory learning on internationalisation-performance relationship in SMEs,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,,,Y,ip_perf_match,,,,,,,,wos
S0577,000355985100015,"Kim, Young Gui; Suh, Jeongmeen",2015,What Determines Small Champions' Export Performance? Evidence from Korea Firm-Level Data,ASIAN ECONOMIC PAPERS,,,,Y,ip_perf_match,,,,,,,,wos
S0578,000355033700024,"Moral-Pajares, Encarnacion; Mozas-Moral, Adoracion; Bernal-Jurado, Enrique; Jesus Medina-Viruel, Miguel",2015,Efficiency and exports: Evidence from Southern European companies,JOURNAL OF BUSINESS RESEARCH,,,,Y,ip_perf_match,,,,,,,,wos
S0579,000357989600003,"Sala, Davide; Yalcin, Erdal",2015,Export Experience of Managers and the Internationalisation of Firms,WORLD ECONOMY,,,,Y,ip_firm_match,,,,,,,,wos
S0580,000356992800008,"Ito, Banri; Xu, Zhaoyuan; Yashiro, Naomitsu",2015,Does agglomeration promote internationalization of Chinese firms?,CHINA ECONOMIC REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0581,000353341200015,"Julian, Craig C.; Rezaei, Sajad; Amin, Muslim",2014,"The impact of knowledge management, brand orientation and global marketing strategy on performance",RESEARCH HANDBOOK ON EXPORT MARKETING,,,,UNSURE,title_insufficient,,,,,,,,wos
S0582,000356209100011,"Sanfilippo, Marco",2015,FDI from emerging markets and the productivity gap An analysis on affiliates of BRICS EMNEs in Europe,INTERNATIONAL BUSINESS REVIEW,,,,Y,ip_perf_match,,,,,,,,wos
S0583,000356209100007,"Gerschewski, Stephan; Xiao, Simon Shufeng",2015,Beyond financial indicators: An assessment of the measurement of performance for international new ventures,INTERNATIONAL BUSINESS REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0584,000356354400002,"Aguilera-Caracuel, Javier; Guerrero-Villegas, Jaime; Dolores Vidal-Salazar, Maria; Delgado-Marquez, Blanca L.",2015,International Cultural Diversification and Corporate Social Performance in Multinational Enterprises: The Role of Slack Financial Resources,MANAGEMENT INTERNATIONAL REVIEW,,,,Y,ip_perf_match,,,,,,,,wos
S0585,000357111100006,"Fernandez-Ortiz, Ruben; Arteaga Ortiz, Jesus; Clavel San Emeterio, Monica",2015,Factors That Foster Export Commitment: an Empirical Study in Small and Medium-Sized Enterprises,INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0586,000357341700002,"Cieslik, Andrzej; Michalek, Anna; Michalek, Jan Jakub; Mycielski, Jerzy",2015,Determinants of Export Performance: Comparison of Central European and Baltic Firms,FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE,,,,Y,ip_perf_match,,,,,,,,wos
S0587,000357542500010,"Huo, Da; Hung, Ken",2015,INTERNATIONALIZATION STRATEGY AND FIRM PERFORMANCE: ESTIMATION OF CORPORATE STRATEGY EFFECT BASED ON BIG DATA OF CHINESE IT COMPANIES IN A COMPLEX NETWORK,ROMANIAN JOURNAL OF ECONOMIC FORECASTING,,,,Y,ip_perf_match,,,,,,,,wos
S0588,000357500600002,"Dubois, Alexandre",2015,Business networks and the competitiveness of small manufacturing firms in Sweden's northern periphery,NORSK GEOGRAFISK TIDSSKRIFT-NORWEGIAN JOURNAL OF GEOGRAPHY,,,,UNSURE,title_insufficient,,,,,,,,wos
S0589,000355509900006,"Angeles Diaz-Mayans, M.; Sanchez-Perez, Rosario",2014,"Innovation, Exports and Technical Efficiency in Spain","DESIGN A PATTERN OF SUSTAINABLE GROWTH: INNOVATION, EDUCATION, ENERGY AND ENVIRONMENT",,,,Y,ip_perf_match,,,,,,,,wos
S0590,000361057900007,"Kang, Kyung Ho; Lee, Seoki",2015,Effects of diversification strategies on US restaurant firms' performance,TOURISM ECONOMICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0591,000357855600001,"Liu, Xiaohui; Wright, Mike; Filatotchev, Igor",2015,"Learning, firm age and performance: An investigation of returnee entrepreneurs in Chinese high-tech industries",INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,,,,UNSURE,title_insufficient,,,,,,,,wos
S0592,000358684500006,"Schmid, Stefan; Wurster, Dennis J.",2015,Internationalisation of upper echelons in different institutional contexts: top managers in Germany and the UK,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,,,,Y,ip_firm_match,,,,,,,,wos
S0593,000356281100005,"Buchelt, Beata",2015,Performance management in Polish companies internationalizing their market activities,INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,,,,Y,ip_perf_match,,,,,,,,wos
S0594,000363902900003,"Debrulle, Jonas; Maes, Johan",2015,"Start-ups' Internationalization: The Impact of Business Owners' Management Experience, Start-up Experience and Professional Network on Export Intensity",EUROPEAN MANAGEMENT REVIEW,,,,Y,ip_firm_match,,,,,,,,wos
S0595,000362835200004,"Lu, Cheng-Chang; Kuan, Tsung-Han; Liu, Chwen-Chi",2015,Effects of Location Diversification and Corporate Governance on Multinational Enterprises' Financial Performance and Risk-taking: Evidence from Taiwanese Enterprises,CHINA & WORLD ECONOMY,,,,Y,ip_perf_match,,,,,,,,wos
