model,term,b,se,t,p,sig,n,r2,adj_r2,tp,tp_raw,tp_se,b1,b2,lm_p,shape,tci_mod_joint_F,tci_mod_joint_p,dai_mod_joint_F,dai_mod_joint_p
M9,fsts_c2_x_tci,-1.7125,0.403,-4.249,0.0,***,23662,0.0347,0.0341,,,,-0.1473054639976843,0.2523366009604588,1.0,U or linear (b2>=0),,,,
M9,dai_z,0.2067,0.0302,6.833,0.0,***,23662,0.0347,0.0341,,,,-0.1473054639976843,0.2523366009604588,1.0,U or linear (b2>=0),,,,
M9,fsts_c_x_dai,-0.1097,0.2494,-0.44,0.66,,23662,0.0347,0.0341,,,,-0.1473054639976843,0.2523366009604588,1.0,U or linear (b2>=0),,,,
M9,fsts_c2_x_dai,-0.134,0.3412,-0.393,0.6946,,23662,0.0347,0.0341,,,,-0.1473054639976843,0.2523366009604588,1.0,U or linear (b2>=0),,,,
M9,mgr_experience,0.0186,0.002,9.409,0.0,***,23662,0.0347,0.0341,,,,-0.1473054639976843,0.2523366009604588,1.0,U or linear (b2>=0),,,,
M9,mgr_female,0.171,0.0554,3.086,0.002,**,23662,0.0347,0.0341,,,,-0.1473054639976843,0.2523366009604588,1.0,U or linear (b2>=0),,,,
M10,Intercept,11.7049,0.2263,51.719,0.0,***,25018,0.0361,0.0356,,,,-7.208446523626747,11.858278621227111,1.0,U or linear (b2>=0),,,,
M10,fsts_c,-7.2084,1.8517,-3.893,0.0001,***,25018,0.0361,0.0356,,,,-7.208446523626747,11.858278621227111,1.0,U or linear (b2>=0),,,,
M10,fsts_c2,11.8583,2.6236,4.52,0.0,***,25018,0.0361,0.0356,,,,-7.208446523626747,11.858278621227111,1.0,U or linear (b2>=0),,,,
M10,tci_z,0.2622,0.025,10.504,0.0,***,25018,0.0361,0.0356,,,,-7.208446523626747,11.858278621227111,1.0,U or linear (b2>=0),,,,
M10,dai_z,0.1755,0.02,8.755,0.0,***,25018,0.0361,0.0356,,,,-7.208446523626747,11.858278621227111,1.0,U or linear (b2>=0),,,,
M10,icrv_group,0.6386,0.0547,11.68,0.0,***,25018,0.0361,0.0356,,,,-7.208446523626747,11.858278621227111,1.0,U or linear (b2>=0),,,,
M10,fsts_c_x_icrv,1.793,0.4676,3.835,0.0001,***,25018,0.0361,0.0356,,,,-7.208446523626747,11.858278621227111,1.0,U or linear (b2>=0),,,,
M11,Intercept,11.5236,0.1828,63.054,0.0,***,23662,0.0499,0.0492,-0.017,-0.017472749085483685,66.24,-0.0227,-0.6507,0.5105,not confirmed,,,,
M11,fsts_c,-0.0227,0.8621,-0.026,0.979,,23662,0.0499,0.0492,-0.017,-0.017472749085483685,66.24,-0.0227,-0.6507,0.5105,not confirmed,,,,
M11,fsts_c2,-0.6507,0.322,-2.021,0.0433,*,23662,0.0499,0.0492,-0.017,-0.017472749085483685,66.24,-0.0227,-0.6507,0.5105,not confirmed,,,,
M11,tci_z,0.2631,0.026,10.133,0.0,***,23662,0.0499,0.0492,-0.017,-0.017472749085483685,66.24,-0.0227,-0.6507,0.5105,not confirmed,,,,
M11,dai_z,-0.025,0.1692,-0.148,0.8824,,23662,0.0499,0.0492,-0.017,-0.017472749085483685,66.24,-0.0227,-0.6507,0.5105,not confirmed,,,,
M11,icrv_group,0.6619,0.0398,16.619,0.0,***,23662,0.0499,0.0492,-0.017,-0.017472749085483685,66.24,-0.0227,-0.6507,0.5105,not confirmed,,,,
M11,fsts_c_x_icrv,0.0786,0.2108,0.373,0.7093,,23662,0.0499,0.0492,-0.017,-0.017472749085483685,66.24,-0.0227,-0.6507,0.5105,not confirmed,,,,
M11,fsts_c_x_dai,0.0808,0.7888,0.102,0.9184,,23662,0.0499,0.0492,-0.017,-0.017472749085483685,66.24,-0.0227,-0.6507,0.5105,not confirmed,,,,
M11,fsts_c_x_dai_x_icrv,-0.0664,0.19,-0.35,0.7266,,23662,0.0499,0.0492,-0.017,-0.017472749085483685,66.24,-0.0227,-0.6507,0.5105,not confirmed,,,,
M11,mgr_experience,0.0188,0.002,9.545,0.0,***,23662,0.0499,0.0492,-0.017,-0.017472749085483685,66.24,-0.0227,-0.6507,0.5105,not confirmed,,,,
M11,mgr_female,0.2486,0.0547,4.542,0.0,***,23662,0.0499,0.0492,-0.017,-0.017472749085483685,66.24,-0.0227,-0.6507,0.5105,not confirmed,,,,
