model,regimes,K,QM,QM_df,QM_pval,note
full,I/II/III/FR/MX,288,17.35,4,0.0017,omnibus significant on full sample
drop_FR,I/II/III/MX,285,1.49,3,0.6834,"FR (k=3, r=.349) removed; core regimes ns -> moderation not robust"
