model,term,b,se,t,p,sig,n,r2,adj_r2,tp,tp_raw,tp_se,b1,b2,lm_p,shape,tci_mod_joint_F,tci_mod_joint_p,dai_mod_joint_F,dai_mod_joint_p
M5,C(cy_fe)[T.Fiji_2025],-2.0326,0.2139,-9.504,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Georgia_2013],-2.8572,0.2052,-13.921,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Georgia_2019],-2.0312,0.1866,-10.883,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Georgia_2023],-1.9746,0.1858,-10.629,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.HongKong_2023],1.1413,0.1931,5.911,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.India_2014],0.9409,0.1724,5.459,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.India_2022],1.4797,0.1723,8.588,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.India_2025],2.0924,0.172,12.168,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Indonesia_2009],4.6999,0.1809,25.979,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Indonesia_2015],5.3062,0.184,28.831,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Indonesia_2023],5.2837,0.1775,29.771,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Iraq_2011],5.2866,0.178,29.708,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Iraq_2022],4.2868,0.1831,23.409,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Israel_2013],0.5229,0.1783,2.932,0.0034,**,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Israel_2024],0.3555,0.1787,1.99,0.0466,*,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Japan_2025],3.9638,0.1735,22.841,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Jordan_2013],-2.575,0.1844,-13.966,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Jordan_2019],-2.4577,0.2121,-11.585,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Jordan_2024],-2.2609,0.1825,-12.39,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Kazakhstan_2009],1.3538,0.1918,7.06,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Kazakhstan_2013],2.2927,0.182,12.598,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Kazakhstan_2019],2.4588,0.1781,13.806,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Kazakhstan_2024],4.3075,0.1792,24.042,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Kiribati_2025],-3.8118,0.2236,-17.046,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Korea_2024],6.4173,0.1748,36.722,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Kuwait_2025],-3.3062,0.1946,-16.99,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.KyrgyzRepublic_2009],-0.7687,0.2163,-3.555,0.0004,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.KyrgyzRepublic_2013],0.5718,0.1939,2.95,0.0032,**,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.KyrgyzRepublic_2019],0.6212,0.2001,3.104,0.0019,**,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.KyrgyzRepublic_2023],0.7974,0.1945,4.099,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Laos_2009],5.2731,0.1902,27.722,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Laos_2012],4.7775,0.2091,22.846,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Laos_2016],5.7496,0.1835,31.335,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Laos_2018],5.5149,0.1949,28.297,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Laos_2024],5.7305,0.1909,30.022,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Lebanon_2013],5.4201,0.1871,28.972,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Lebanon_2019],5.4173,0.1787,30.317,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Malaysia_2015],-2.5959,0.1853,-14.013,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Malaysia_2019],-0.9886,0.1767,-5.595,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Malaysia_2024],-1.2545,0.177,-7.089,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Maldives_2025],-0.0582,0.2292,-0.254,0.7994,,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Mongolia_2009],2.7032,0.1865,14.493,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Mongolia_2013],4.0684,0.181,22.472,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Mongolia_2019],4.3573,0.1837,23.719,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Myanmar_2014],2.7805,0.1825,15.239,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Myanmar_2016],3.4045,0.179,19.017,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Nepal_2009],0.0929,0.1884,0.493,0.6217,,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Nepal_2013],0.7256,0.1825,3.976,0.0001,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Nepal_2023],1.6826,0.1782,9.444,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Oman_2026],-4.2259,0.2221,-19.027,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Pakistan_2013],0.7293,0.1959,3.724,0.0002,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Pakistan_2022],2.0256,0.1752,11.563,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.PapuaNewGuinea_2015],-1.0193,0.2214,-4.603,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.PapuaNewGuinea_2024],-1.4373,0.262,-5.485,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Philippines_2009],0.8485,0.1812,4.683,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Philippines_2015],1.0847,0.1799,6.03,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
