study_id,effect_id,label,r_i,r_lo,r_hi,icrv,cdai,dpl,n,doi_type,fp_type
S101,S101_e2,Freixanet & Rialp 2021,0.087,0.027,0.146,II,M,FOL,1064,EXP,ACC
S190,S190,"Phan, Ninh & Do 2021",-0.04,-0.16,0.081,II,M,SPN,263,FSTS,ACC
S215,S215,Rienda & Andreu 2021,0.04,-0.099,0.178,II,M,SPN,200,FSTS,ACC
S235,S235,Freixanet & Rialp 2021,0.08,0.03,0.13,II,M,FOL,1500,EXP,MIX
N257,N257_e1,Espinosa-Mendez 2021,0.198,0.089,0.303,II,,SPN,309,,MKT
S129,S129_e1,"Freixanet, Renart & Segarra-Blasco 2022",0.08,0.014,0.145,II,M,FOL,892,EXP,ACC
S129,S129_e2,"Freixanet, Renart & Segarra-Blasco 2022",0.11,0.045,0.174,II,M,FOL,892,EXP,ACC
S233,S233,Kayaci 2022,0.06,-0.079,0.197,II,H,FOL,200,COMP,ACC
S193,S193,García-Sánchez & Rama 2024,0.09,-0.03,0.208,II,H,SPN,267,FSTS,ACC
S139,S139_e1,"Aulakh, Kotabe & Teegen 2000",0.09,-0.065,0.24,III,L,PRE,163,EXP,ACC
S139,S139_e2,"Aulakh, Kotabe & Teegen 2000",0.17,0.017,0.315,III,L,PRE,163,EXP,ACC
S155,S155,"Luo, Zhao & Du 2005",0.22,0.086,0.346,III,L,PRE,207,FSTS,ACC
S22,S22,Thomas 2006,0.027,-0.073,0.126,III,L,PRE,386,EXP,ACC
S25,S25,Kumar & Gaur 2007,0.343,0.226,0.45,III,L,PRE,240,GEO,ACC
S148,S148,Elango & Pattnaik 2007,0.09,0.021,0.159,III,L,PRE,794,FSTS,ACC
S154,S154,"Yiu, Lau & Bruton 2007",0.14,-0.078,0.345,III,L,PRE,83,GEO,MIX
S161,S161_e1,"Contractor, Kumar & Kundu 2007",-0.33,-0.492,-0.146,III,L,PRE,103,FSTS,ACC
S161,S161_e2,"Contractor, Kumar & Kundu 2007",0.44,0.269,0.584,III,L,PRE,103,FSTS,ACC
S168,S168,"Zhou, Wu & Luo 2007",0.19,0.051,0.322,III,L,PRE,195,FSTS,ACC
S31,S31_e1,Kumar & Singh 2008,-0.145,-0.36,0.085,III,L,PRE,75,EXP,LAB
S31,S31_e2,Kumar & Singh 2008,-0.3,-0.493,-0.078,III,L,PRE,75,EXP,LAB
S35,S35,Gaur & Kumar 2009,-0.075,-0.2,0.052,III,L,PRE,240,GEO,ACC
S36,S36,Pattnaik & Elango 2009,-0.02,-0.09,0.05,III,L,PRE,787,EXP,ACC
S158,S158,Singh & Gaur 2009,0.11,0.055,0.165,III,L,SPN,1247,GEO,MIX
S226,S226,Zeng et al. 2009,0.06,-0.079,0.197,III,L,PRE,200,EXP,ACC
Gaur2009,Gaur2009,Gaur 2009,0.343,0.226,0.45,III,M,SPN,240,OTHER,MIX
S40,S40_e1,Pan et al. 2010,0.05,-0.058,0.157,III,L,SPN,332,FSTS,ACC
S40,S40_e2,Pan et al. 2010,0.07,-0.038,0.176,III,L,SPN,332,FSTS,ACC
S157,S157,Boehe & Cruz 2010,0.18,0.029,0.323,III,L,SPN,168,EXP,ACC
S164,S164,"Gao, Murray, Kotabe & Lu 2010",0.13,-0.063,0.314,III,M,SPN,105,FSTS,ACC
S45,S45_e1,Zhang & Toppinen 2011,0.25,-0.03,0.494,III,L,SPN,50,EXP,ACC
S45,S45_e2,Zhang & Toppinen 2011,0.31,0.035,0.542,III,L,SPN,50,EXP,ACC
S49,S49_e1,Chen & Tan 2012,-0.011,-0.077,0.055,III,L,SPN,887,EXP,ACC
S49,S49_e2,Chen & Tan 2012,0.171,0.106,0.234,III,L,SPN,887,EXP,ACC
S49,S49_e3,Chen & Tan 2012,0.24,0.177,0.301,III,L,SPN,887,EXP,ACC
S50,S50,Li et al. 2012,0.135,0.018,0.249,III,L,SPN,278,GEO,ACC
S52,S52,Polat & Mutlu 2012,0.266,0.076,0.437,III,L,SPN,103,EXP,ACC
S58,S58,Xiao et al. 2013,-0.034,-0.04,-0.028,III,L,SPN,114398,EXP,LAB
S217,S217,Singla & George 2013,0.08,-0.059,0.216,III,L,SPN,200,FSTS,ACC
S224,S224,Xiao et al. 2013,0.08,-0.045,0.202,III,L,SPN,250,FSTS,ACC
S63,S63,Zhou & Wu 2014,0.15,0.05,0.247,III,L,SPN,376,EXP,ACC
S121,S121,"Gaur, Kumar & Singh 2014",0.09,-0.037,0.214,III,L,SPN,240,GEO,ACC
S64,S64,Nguyen & Rugman 2015,0.217,0.023,0.396,III,L,SPN,101,FSTS,ACC
S65,S65,Ren et al. 2015,0.09,-0.059,0.235,III,L,SPN,176,EXP,ACC
S122,S122,Luo & Tung 2015,0.11,-0.006,0.223,III,L,SPN,285,GEO,ACC
S166,S166_e1,Castellacci 2015,0.1,0.067,0.133,III,M,FOL,3498,EXP,LAB
S166,S166_e2,Castellacci 2015,0.16,0.128,0.192,III,M,FOL,3498,EXP,LAB
S76,S76,Upadhyayula et al. 2016,0.354,0.167,0.516,III,L,SPN,98,EXP,ACC
S174,S174,"Ogasavara, Hoshino & Alberton 2016",0.11,-0.052,0.267,III,M,FOL,148,GEO,ACC
S221,S221,Vithessonthi & Racela 2016,0.05,-0.048,0.147,III,M,SPN,400,FSTS,ACC
S77,S77,Borda et al. 2017,0.04,-0.155,0.232,III,L,SPN,103,FSTS,ACC
S78,S78,Buckley & Tian 2017,-0.031,-0.162,0.101,III,L,SPN,221,FSTS,ACC
S79,S79,Ganvir & Dwivedi 2017,0.045,-0.051,0.142,III,L,SPN,411,EXP,ACC
S80,S80_e1,Jin et al. 2017,-0.02,-0.118,0.078,III,L,SPN,401,EXP,ACC
S80,S80_e2,Jin et al. 2017,-0.03,-0.128,0.068,III,L,SPN,401,EXP,ACC
S82,S82,Purkayastha et al. 2017,0.029,-0.116,0.173,III,L,SPN,185,FSTS,ACC
S88,S88,Thi Ngoc Huynh et al. 2018,-0.051,-0.068,-0.034,III,L,SPN,12704,EXP,LAB
S89,S89_e1,Velez-Calle et al. 2018,-0.14,-0.295,0.022,III,L,SPN,147,FSTS,ACC
S89,S89_e2,Velez-Calle et al. 2018,0.05,-0.113,0.21,III,L,SPN,147,FSTS,ACC
S90,S90,Zhou 2018,-0.028,-0.113,0.057,III,L,SPN,535,EXP,ACC
S91,S91,Sun et al. 2018,-0.006,-0.062,0.05,III,L,SPN,1220,FSTS,ACC
N243,N243_e1,Sharma 2018,0.131,0.108,0.154,III,,FOL,6993,EXP,LAB
S92,S92,Feng et al. 2019,0.029,-0.122,0.179,III,L,FOL,170,EXP,ACC
S93,S93,Juniati et al. 2019,0.37,0.268,0.464,III,L,FOL,300,EXP,ACC
N246,N246_e1,Assadinia 2019,0.122,-0.016,0.255,III,,FOL,203,EXP,ACC
