study_id,effect_id,label,r_i,r_lo,r_hi,icrv,cdai,dpl,n,doi_type,fp_type
S203,S203,Debicki et al. 2020,0.05,-0.064,0.162,MX,M,SPN,300,FSTS,ACC
S232,S232,Huang & Marciano 2020,0.05,-0.089,0.187,MX,M,SPN,200,FSTS,ACC
Phan2020,Phan2020,Phan 2020,-0.011,-0.182,0.161,MX,H,FOL,131,OTHER,MIX
S192,S192,Tu & Huynh 2021,0.03,-0.178,0.236,MX,L,SPN,90,FSTS,ACC
S220,S220,Tsionas & Tzeremes 2021,0.1,0.012,0.186,MX,H,FOL,500,COMP,LAB
S125,S125,Arte & Larimo 2022,0.115,0.059,0.17,MX,M,FOL,1200,COMP,MIX
S178,S178_e1,Lin & Liu 2022,0.09,-0.002,0.181,MX,M,FOL,452,GEO,ACC
S178,S178_e2,Lin & Liu 2022,-0.06,-0.151,0.032,MX,M,FOL,452,GEO,ACC
S186,S186,"Torres, Kunc & O'Shannassy 2022",0.13,-0.01,0.265,MX,H,FOL,198,COMP,ACC
N259,N259_e1,Schmuck 2022,0.21,0.168,0.251,MX,,FOL,2066,,MIX
S127,S127,"Bhandari, Zámborský, Ranta & Salo 2023",0.1,0.05,0.15,MX,H,FOL,1500,COMP,MIX
S128,S128,Kafouros et al. 2023,0.09,0.021,0.158,MX,H,FOL,800,GEO,ACC
S230,S230,Bhandari et al. 2023,0.1,-0.013,0.211,MX,H,FOL,300,FSTS,MKT
N247,N247_e1,Hussain 2026,0.123,0.104,0.142,MX,,FOL,10460,COMP,MKT
S216,S216,Schmuck et al. (2022a),0.08,-0.018,0.177,MX,H,FOL,400,COMP,MKT
S236,S236,Barłożewski & Trąpczyński (2021a),-0.1,-0.294,0.101,MX,M,SPN,97,FSTS,ACC
S237,S237,Barłożewski & Trąpczyński (2021b),-0.04,-0.152,0.073,MX,M,FOL,304,FSTS,ACC
