cdai,k,r_est,r_ci_lo,r_ci_hi,pval,QM,QM_pval
L,174,0.075,0.056,0.094,0,103.88,0
M,75,0.063,0.036,0.09,0,103.88,0
H,38,0.091,0.052,0.129,0,103.88,0
