phase,k,r_est,r_ci_lo,r_ci_hi,pval,QM,QM_pval
PRE,104,0.082,0.058,0.107,0,127.95,0
SPN,128,0.071,0.051,0.092,0,127.95,0
FOL,96,0.077,0.053,0.1,0,127.95,0
