regime,k,z_est,r_est,r_ci_lo,r_ci_hi,pval,QM,QM_pval
I,147,0.0777,0.078,0.057,0.098,0,124.03,0
II,30,0.0646,0.064,0.021,0.108,0.0037,124.03,0
III,92,0.0725,0.072,0.047,0.098,0,124.03,0
FR,3,0.3606,0.346,0.207,0.47,0,124.03,0
MX,36,0.0595,0.059,0.02,0.099,0.0031,124.03,0
