model,term,coef,se,p,n
VNM2009:M2,FSTSc,0.5751,0.4391,0.1903,995
VNM2009:M2,FSTSc2,-1.524,0.6926,0.0278,995
VNM2009:M2,lnEmp,-0.1033,0.0316,0.0011,995
VNM2009:M2,firmage,-0.0657,0.0818,0.4219,995
VNM2009:M2,foreign,0.4743,0.1389,0.0006,995
VNM2009:M4,FSTSc,0.3485,0.4354,0.4234,995
VNM2009:M4,FSTSc2,-1.045,0.6998,0.1353,995
VNM2009:M4,DAI_z,0.2781,0.0867,0.0013,995
VNM2009:M4,fXd,-0.0016,0.4102,0.9969,995
VNM2009:M4,f2Xd,-0.1566,0.6817,0.8183,995
VNM2009:M4,lnEmp,-0.1607,0.0327,0.0,995
VNM2009:M4,firmage,-0.0194,0.0813,0.8115,995
VNM2009:M4,foreign,0.4793,0.1332,0.0003,995
VNM2009:M6,DAI_z,0.2729,0.0409,0.0,995
VNM2009:M6,lnEmp,-0.1794,0.0289,0.0,995
VNM2009:M6,firmage,-0.0221,0.0814,0.7856,995
VNM2009:M6,foreign,0.4181,0.1291,0.0012,995
VNM2015:M2,FSTSc,0.9515,0.527,0.071,964
VNM2015:M2,FSTSc2,-1.9065,0.7342,0.0094,964
VNM2015:M2,lnEmp,-0.0642,0.0319,0.044,964
VNM2015:M2,firmage,0.1154,0.0916,0.2081,964
VNM2015:M2,foreign,0.0801,0.1577,0.6112,964
VNM2015:M4,FSTSc,1.0639,0.6461,0.0996,960
VNM2015:M4,FSTSc2,-2.034,0.8903,0.0223,960
VNM2015:M4,DAI_z,0.0311,0.0921,0.7357,960
VNM2015:M4,fXd,-0.2943,0.6326,0.6418,960
VNM2015:M4,f2Xd,-0.0345,0.877,0.9686,960
VNM2015:M4,lnEmp,-0.0663,0.0331,0.0452,960
VNM2015:M4,firmage,0.1112,0.0919,0.2261,960
VNM2015:M4,foreign,0.0617,0.1589,0.6977,960
VNM2015:M6,DAI_z,0.0454,0.0475,0.3398,960
VNM2015:M6,lnEmp,-0.0827,0.0321,0.01,960
VNM2015:M6,firmage,0.1219,0.0922,0.186,960
VNM2015:M6,foreign,0.0441,0.1587,0.781,960
VNM2023:M2,FSTSc,0.8523,0.5332,0.1099,1014
VNM2023:M2,FSTSc2,-2.0962,0.7262,0.0039,1014
VNM2023:M2,lnEmp,0.0324,0.0361,0.3684,1014
VNM2023:M2,firmage,-0.2336,0.1044,0.0253,1014
VNM2023:M2,foreign,0.3027,0.1326,0.0225,1014
VNM2023:M4,FSTSc,1.2201,0.5533,0.0274,1014
VNM2023:M4,FSTSc2,-2.5612,0.7497,0.0006,1014
VNM2023:M4,DAI_z,0.0007,0.0824,0.9935,1014
VNM2023:M4,fXd,-1.0974,0.523,0.0359,1014
VNM2023:M4,f2Xd,1.4193,0.7425,0.0559,1014
VNM2023:M4,lnEmp,0.0039,0.0376,0.9175,1014
VNM2023:M4,firmage,-0.2293,0.1042,0.0278,1014
VNM2023:M4,foreign,0.3023,0.1327,0.0228,1014
VNM2023:M6,DAI_z,0.1525,0.0475,0.0013,1014
VNM2023:M6,lnEmp,-0.0321,0.034,0.345,1014
VNM2023:M6,firmage,-0.2209,0.1045,0.0345,1014
VNM2023:M6,foreign,0.2003,0.1329,0.1319,1014
VNMpooled:M2,FSTSc,0.7328,0.2924,0.0122,2973
VNMpooled:M2,FSTSc2,-1.75,0.4234,0.0,2973
VNMpooled:M2,wave_d15,0.6058,0.0604,0.0,2973
VNMpooled:M2,wave_d23,1.1223,0.0621,0.0,2973
VNMpooled:M2,lnEmp,-0.0462,0.0192,0.0161,2973
VNMpooled:M2,firmage,-0.0445,0.0531,0.4012,2973
VNMpooled:M2,foreign,0.322,0.0818,0.0001,2973
VNMpooled:M4,FSTSc,0.6851,0.3292,0.0375,2969
VNMpooled:M4,FSTSc2,-1.6313,0.4797,0.0007,2969
VNMpooled:M4,DAI_z,0.1215,0.0536,0.0232,2969
VNMpooled:M4,fXd,-0.2893,0.3135,0.3561,2969
VNMpooled:M4,f2Xd,0.226,0.4663,0.628,2969
VNMpooled:M4,d15,0.58,0.0606,0.0,2969
VNMpooled:M4,d23,1.0862,0.0619,0.0,2969
VNMpooled:M4,lnEmp,-0.0754,0.02,0.0002,2969
VNMpooled:M4,firmage,-0.0313,0.053,0.5546,2969
VNMpooled:M4,foreign,0.3367,0.0808,0.0,2969
VNMpooled:M6,DAI_z,0.1571,0.0264,0.0,2969
VNMpooled:M6,d15,0.5838,0.0608,0.0,2969
VNMpooled:M6,d23,1.0719,0.0621,0.0,2969
VNMpooled:M6,lnEmp,-0.0988,0.0185,0.0,2969
VNMpooled:M6,firmage,-0.0274,0.0532,0.6066,2969
VNMpooled:M6,foreign,0.2587,0.0803,0.0013,2969
