model,term,coef,se,p,n
M0,Intercept,11.433208,0.134222,0.0,623
M0,lnEmp,-0.126995,0.038032,0.00084,623
M0,firmage,0.017714,0.003596,1e-06,623
M0,foreigndum,0.443111,0.097595,6e-06,623
M0,sec_mfg,-0.247936,0.105037,0.018252,623
M0,sec_constr,-0.397865,0.106179,0.000179,623
M1,Intercept,11.477339,0.132466,0.0,623
M1,FSTS_c,1.866563,0.343167,0.0,623
M1,lnEmp,-0.126116,0.036784,0.000607,623
M1,firmage,0.015827,0.003489,6e-06,623
M1,foreigndum,0.330573,0.092209,0.000337,623
M1,sec_mfg,-0.238846,0.102067,0.019279,623
M1,sec_constr,-0.300048,0.103578,0.00377,623
M2,Intercept,11.536745,0.137129,0.0,623
M2,FSTS_c,3.078495,0.805253,0.000132,623
M2,FSTSsq_c,-1.898159,1.078943,0.07853,623
M2,lnEmp,-0.129063,0.036553,0.000414,623
M2,firmage,0.015292,0.003492,1.2e-05,623
M2,foreigndum,0.330072,0.091608,0.000314,623
M2,sec_mfg,-0.232345,0.102093,0.022857,623
M2,sec_constr,-0.285649,0.103928,0.005986,623
M3,Intercept,11.656418,0.136725,0.0,623
M3,FSTS_c,2.64287,0.836133,0.001573,623
M3,FSTSsq_c,-1.417825,1.111406,0.20206,623
M3,TCI_z,0.171044,0.044402,0.000117,623
M3,lnEmp,-0.177321,0.038234,4e-06,623
M3,firmage,0.016057,0.003462,4e-06,623
M3,foreigndum,0.318616,0.09127,0.000481,623
M3,sec_mfg,-0.233124,0.099357,0.01896,623
M3,sec_constr,-0.227557,0.103711,0.028225,623
M4,Intercept,11.558085,0.13826,0.0,617
M4,FSTS_c,2.726038,0.817462,0.000854,617
M4,FSTSsq_c,-1.567978,1.080237,0.146637,617
M4,DAI_z,0.119263,0.038818,0.002124,617
M4,lnEmp,-0.143199,0.036902,0.000104,617
M4,firmage,0.015675,0.003487,7e-06,617
M4,foreigndum,0.326913,0.092091,0.000385,617
M4,sec_mfg,-0.235887,0.101448,0.020061,617
M4,sec_constr,-0.248329,0.107389,0.020755,617
M5,Intercept,11.603174,0.136517,0.0,623
M5,TCI_z,0.211041,0.045522,4e-06,623
M5,lnEmp,-0.187382,0.039942,3e-06,623
M5,firmage,0.01833,0.003521,0.0,623
M5,foreigndum,0.419228,0.096454,1.4e-05,623
M5,sec_mfg,-0.246093,0.101958,0.015793,623
M5,sec_constr,-0.313355,0.106535,0.003268,623
M6,Intercept,11.483968,0.135266,0.0,617
M6,DAI_z,0.166231,0.040781,4.6e-05,617
M6,lnEmp,-0.147101,0.038206,0.000118,617
M6,firmage,0.017833,0.003528,0.0,617
M6,foreigndum,0.429073,0.096458,9e-06,617
M6,sec_mfg,-0.251413,0.103897,0.015528,617
M6,sec_constr,-0.336946,0.109022,0.001997,617
M7,Intercept,11.623722,0.138088,0.0,617
M7,TCI_z,0.182346,0.047818,0.000137,617
M7,DAI_z,0.132941,0.04111,0.001222,617
M7,lnEmp,-0.195698,0.039772,1e-06,617
M7,firmage,0.01829,0.003492,0.0,617
M7,foreigndum,0.408447,0.096039,2.1e-05,617
M7,sec_mfg,-0.249176,0.101469,0.014061,617
M7,sec_constr,-0.274525,0.108263,0.011222,617
M8,Intercept,11.655122,0.138495,0.0,617
M8,FSTS_c,2.791056,0.850006,0.001025,617
M8,FSTSsq_c,-2.872471,1.145002,0.012118,617
M8,TCI_z,0.152003,0.046037,0.000961,617
M8,DAI_z,0.039226,0.048559,0.41921,617
M8,FSTS_c:DAI_z,-1.017526,0.77652,0.190072,617
M8,FSTSsq_c:DAI_z,3.219552,1.383528,0.019962,617
M8,lnEmp,-0.170687,0.03873,1e-05,617
M8,firmage,0.015805,0.003469,5e-06,617
M8,foreigndum,0.304078,0.091737,0.000918,617
M8,sec_mfg,-0.226906,0.099036,0.021955,617
M8,sec_constr,-0.213465,0.106703,0.045441,617
