economy,year,lp,fsts,tci,dai,lnsize,tci_z,dai_z,fc,fc2
Fiji,2009,9.328123407632566,0.0,0.0,1.0,2.0794415416798357,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,12.08828960987379,0.0,0.5,0.0,2.1972245773362196,1.0152293123286167,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.714417768752456,0.0,0.0,0.0,2.302585092994046,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,9.442672349344798,0.02,0.0,0.0,2.5649493574615367,-0.532015902330636,-0.8425683184703314,-0.04221816283924844,0.0017823732735212977
Fiji,2009,11.918390573078392,0.0,0.0,0.0,2.995732273553991,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,8.294049640102028,0.0,0.0,0.0,1.6094379124341003,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.191169624987909,0.2,1.0,1.0,2.70805020110221,2.5624745269878693,1.186329104554967,0.13778183716075157,0.018983834651391862
Fiji,2009,6.214608098422191,0.4,0.0,1.0,5.298317366548036,-0.532015902330636,1.186329104554967,0.3377818371607516,0.11409656951569251
Fiji,2009,9.498022444427964,0.6,1.0,1.0,5.0106352940962555,2.5624745269878693,1.186329104554967,0.5377818371607516,0.2892093043799931
Fiji,2009,10.7019952487539,0.0,0.0,0.0,2.8903717578961645,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,12.828602258876165,0.0,0.0,1.0,3.091042453358316,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.130932713047207,0.0,0.0,0.0,2.8903717578961645,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,12.02375108873622,0.0,0.0,1.0,6.1092475827643655,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.596634733096073,0.0,0.0,1.0,3.2188758248682006,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.269731947491012,0.0,0.0,0.0,3.258096538021482,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,12.493754717981954,0.0,0.0,0.0,2.70805020110221,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,9.210340371976184,0.0,0.0,1.0,3.912023005428146,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.764239893251135,0.05,0.0,0.0,3.5553480614894135,-0.532015902330636,-0.8425683184703314,-0.012218162839248432,0.0001492835031663913
Fiji,2009,8.517193191416238,0.65,1.0,1.0,5.298317366548036,2.5624745269878693,1.186329104554967,0.5877818371607516,0.34548748809606833
Fiji,2009,11.289781913656018,0.3,0.5,0.0,5.703782474656201,1.0152293123286167,-0.8425683184703314,0.23778183716075155,0.056540202083542164
Fiji,2009,11.592968172643765,0.0,0.0,1.0,2.4849066497880004,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.184421397998193,0.1,0.0,1.0,3.2188758248682006,-0.532015902330636,1.186329104554967,0.03778183716075157,0.0014274672192415483
Fiji,2009,11.982929094215963,0.0,0.0,0.0,1.6094379124341003,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,8.440232150280108,0.0,0.0,1.0,3.295836866004329,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.490205270249342,0.0,0.0,0.0,3.258096538021482,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,7.600902459542082,0.0,0.5,1.0,4.605170185988092,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,9.721165995742174,0.0,0.0,0.0,1.791759469228055,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,13.681979165339751,0.0,0.0,1.0,2.772588722239781,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.826422827128951,0.5,0.0,1.0,3.4011973816621555,-0.532015902330636,1.186329104554967,0.4377818371607516,0.19165293694784283
Fiji,2009,9.721165995742174,0.0,1.0,0.0,2.4849066497880004,2.5624745269878693,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,9.74933687270887,0.0,0.0,1.0,3.044522437723423,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,12.611537753638338,0.1,0.0,0.0,2.995732273553991,-0.532015902330636,-0.8425683184703314,0.03778183716075157,0.0014274672192415483
Fiji,2009,10.545889534090838,0.0,0.0,0.0,3.1780538303479458,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,8.333270353255308,0.0,0.0,1.0,3.912023005428146,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.107460356862065,0.25,0.0,1.0,3.4011973816621555,-0.532015902330636,1.186329104554967,0.18778183716075156,0.035262018367467014
Fiji,2009,11.466405449335335,0.0,0.0,0.0,3.091042453358316,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,13.240146413060712,0.0,1.0,1.0,3.6888794541139363,2.5624745269878693,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.002099841204238,0.0,0.0,0.0,2.0794415416798357,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,9.210340371976184,0.0,0.0,0.0,1.9459101490553132,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,9.903487552536127,0.0,0.0,1.0,2.302585092994046,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,12.465583841015258,0.0,1.0,1.0,3.9889840465642745,2.5624745269878693,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.027417649188527,0.0,0.5,1.0,4.174387269895637,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.296530140645736,1.0,0.5,1.0,3.295836866004329,1.0152293123286167,1.186329104554967,0.9377818371607516,0.8794347741085944
Fiji,2009,11.634880925085803,0.0,0.0,0.0,3.6109179126442243,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,9.864266839382847,0.0,0.0,1.0,3.258096538021482,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,9.721165995742174,1.0,0.0,0.0,2.70805020110221,-0.532015902330636,-0.8425683184703314,0.9377818371607516,0.8794347741085944
Fiji,2009,11.042921835724492,0.0,0.0,0.0,2.0794415416798357,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,12.429216196844383,0.0,1.0,0.0,3.4657359027997265,2.5624745269878693,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,12.516227573834014,0.05,0.0,0.0,2.3978952727983707,-0.532015902330636,-0.8425683184703314,-0.012218162839248432,0.0001492835031663913
Fiji,2009,9.135439063803066,0.0,0.0,0.0,4.574710978503383,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.512925464970229,0.0,0.0,1.0,4.248495242049359,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,15.253098213471715,0.0,0.0,0.0,2.9444389791664403,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.48330604778907,0.0,0.0,1.0,2.6390573296152584,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.164618770702013,0.0,0.0,0.0,2.833213344056216,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,7.687913836531712,0.0,0.0,1.0,4.007333185232471,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,12.269976447509654,0.2,0.5,1.0,6.3818160174060985,1.0152293123286167,1.186329104554967,0.13778183716075157,0.018983834651391862
Fiji,2009,11.225243392518447,0.0,0.0,1.0,3.6888794541139363,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.087338953662643,0.0,0.0,0.0,7.134890851565884,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,9.653193012155967,0.4,1.0,1.0,1.9459101490553132,2.5624745269878693,1.186329104554967,0.3377818371607516,0.11409656951569251
Fiji,2009,13.04719334146047,0.0,0.0,0.0,2.0794415416798357,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.472103470449973,0.0,0.0,0.0,1.6094379124341003,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.448386943832658,0.0,0.0,1.0,2.772588722239781,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,11.176453228349015,0.2,0.0,0.0,2.6390573296152584,-0.532015902330636,-0.8425683184703314,0.13778183716075157,0.018983834651391862
Fiji,2009,10.308952660644293,0.0,0.0,0.0,2.70805020110221,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,9.498022444427964,0.0,0.0,0.0,2.1972245773362196,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,12.100712129872347,0.0,0.0,0.0,3.912023005428146,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.191169624987909,0.0,0.0,0.0,2.1972245773362196,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,12.21027679569321,0.0,1.0,0.0,1.6094379124341003,2.5624745269878693,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.269731947491012,0.0,0.0,1.0,3.9512437185814275,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2009,9.944309547056383,0.0,0.0,0.0,2.4849066497880004,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,10.724468104605958,0.0,0.0,0.0,2.3978952727983707,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2009,9.744638351927316,0.0,0.0,0.0,3.4657359027997265,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
