economy,year,lp_z,fsts,fsts_c,fsts_c2,fdi10,ln_age,tci_z,dai
Fiji,2009,-1.0125151972383122,0.0,-0.05373103448275862,0.002887024066587396,1.0,2.3978952727983707,-0.572835038055935,1.0
Fiji,2009,0.9870891287240038,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.8903717578961645,1.733987142223371,0.0
Fiji,2009,-0.008213282628375855,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.4339872044851463,-0.572835038055935,0.0
Fiji,2009,-0.9295301367023933,0.02,-0.03373103448275862,0.001137782687277051,1.0,2.8903717578961645,-0.572835038055935,0.0
Fiji,2009,0.8640056532879773,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.70805020110221,-0.572835038055935,0.0
Fiji,2009,-1.7616506577186388,0.0,-0.05373103448275862,0.002887024066587396,1.0,3.912023005428146,-0.572835038055935,0.0
Fiji,2009,-0.3872807644973176,0.2,0.1462689655172414,0.021394610273483952,0.0,3.4339872044851463,1.733987142223371,1.0
Fiji,2009,-2.4546189787994948,0.4,0.3462689655172414,0.11990219648038052,0.0,2.9444389791664403,-0.572835038055935,1.0
Fiji,2009,-0.8894317218022858,0.6,0.5462689655172414,0.298409782687277,1.0,3.5263605246161616,,1.0
Fiji,2009,-0.017212785885932638,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.772588722239781,-0.572835038055935,0.0
Fiji,2009,1.523409142463668,0.0,-0.05373103448275862,0.002887024066587396,1.0,1.3862943611198906,-0.572835038055935,1.0
Fiji,2009,0.29353125861100976,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.044522437723423,-0.572835038055935,0.0
Fiji,2009,0.9403341521747259,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.4011973816621555,-0.572835038055935,1.0
Fiji,2009,-0.09354128477268137,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.258096538021482,-0.572835038055935,1.0
Fiji,2009,-0.33036623528987585,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.9444389791664403,-0.572835038055935,0.0
Fiji,2009,1.28082860844864,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.4657359027997265,-0.572835038055935,0.0
Fiji,2009,-1.0978431993826165,0.0,-0.05373103448275862,0.002887024066587396,0.0,4.110873864173311,-0.572835038055935,1.0
Fiji,2009,0.752331086016511,0.05,-0.003731034482758619,1.3920618311533876e-05,1.0,3.5263605246161616,-0.572835038055935,0.0
Fiji,2009,-1.5999941566875846,0.65,0.5962689655172414,0.35553667923900123,0.0,3.6888794541139363,1.733987142223371,1.0
Fiji,2009,0.4086096725322868,0.3,0.24626896551724137,0.06064840337693222,1.0,3.258096538021482,-0.572835038055935,0.0
Fiji,2009,0.6282531688376758,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.302585092994046,-0.572835038055935,1.0
Fiji,2009,0.3322811736455394,0.1,0.046268965517241384,0.0021408171700356723,0.0,2.995732273553991,-0.572835038055935,1.0
Fiji,2009,0.910760629837255,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.5649493574615367,-0.572835038055935,0.0
Fiji,2009,-1.6557486364944205,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.772588722239781,-0.572835038055935,1.0
Fiji,2009,-0.17064418319429173,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.5649493574615367,-0.572835038055935,0.0
Fiji,2009,-0.7277752207712316,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.332204510175204,-0.572835038055935,0.0
Fiji,2009,2.141638636200434,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.713572066704308,,1.0
Fiji,2009,0.07292885985472632,0.5,0.4462689655172414,0.19915598958382877,0.0,2.995732273553991,-0.572835038055935,1.0
Fiji,2009,-0.7277752207712316,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.9444389791664403,1.733987142223371,0.0
Fiji,2009,-0.7073668093491159,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.2188758248682006,-0.572835038055935,1.0
Fiji,2009,1.3661566105929455,0.1,0.046268965517241384,0.0021408171700356723,0.0,3.295836866004329,-0.572835038055935,0.0
