model,term,coef,se,p,n
"M2 (FSTS+FSTS^2, FE)",fsts_c,1.153297,0.182022,7.086185171978343e-08,84453
"M2 (FSTS+FSTS^2, FE)",fsts_c2,-1.358663,0.245357,1.197125433227697e-06,84453
"M5 (+controls, FE)",fsts_c,0.497825,0.113769,6.324045488037555e-05,82358
"M5 (+controls, FE)",fsts_c2,-0.713852,0.16761,9.270075063771976e-05,82358
"M5 (+controls, FE)",fdi10,0.231785,0.041704,1.1146725984456651e-06,82358
"M5 (+controls, FE)",ln_age,0.088122,0.010124,1.635735991101228e-11,82358
"M5 (+controls, FE)",tci_z,0.106059,0.006363,0.0,82358
"M5 (+controls, FE)",dai,0.213471,0.029196,2.185635450402401e-09,82358
