economy,year,group,n,website_s,website_c,rd_s,rd_c,iso_s,iso_c,prod_innov_s,prod_innov_c,fdi10_s,fdi10_c,fsts_s,fsts_c,exp_s,exp_c,lp_n,lp_sd
Kazakhstan,2024,Upper_mid,1013,489.0,1013,98.0,1011,386.0,1010,169.0,1012,111.0,1013,5906.0,1013,167.0,1013,1013,1.4309903695058537
Kiribati,2025,SIDS_small,150,28.0,150,12.0,150,2.0,147,39.0,150,1.0,150,155.0,150,4.0,150,149,1.4760807424667202
Korea,2024,Advanced_innovation,1518,615.0,1518,196.0,1512,528.0,1510,119.0,1511,61.0,1512,13280.0,1516,359.0,1516,1514,1.165753435875082
Kuwait,2025,Advanced_resource,150,104.0,150,31.0,150,22.0,149,14.0,150,0.0,150,62.0,150,2.0,150,150,1.1579400185593742
KyrgyzRepublic,2009,Emerging,235,62.0,235,0.0,0,49.0,229,0.0,0,34.0,234,1868.0,235,35.0,235,185,1.611014078203752
KyrgyzRepublic,2013,Emerging,270,132.0,270,0.0,0,66.0,266,103.0,268,47.0,270,2148.0,270,43.0,270,215,1.1504922222681448
KyrgyzRepublic,2019,Emerging,360,190.0,360,43.0,108,46.0,349,154.0,359,68.0,358,3822.0,359,79.0,359,316,1.4494161385891762
KyrgyzRepublic,2023,Emerging,354,231.0,354,29.0,354,35.0,348,79.0,354,41.0,354,3912.0,354,83.0,354,314,1.37945386013621
Laos,2009,Emerging,360,123.0,360,0.0,0,53.0,340,0.0,0,63.0,359,7290.0,360,82.0,360,359,1.4023163921763457
Laos,2012,Emerging,379,94.0,377,0.0,0,38.0,368,0.0,0,38.0,376,5858.0,377,75.0,377,363,1.5658044552205066
Laos,2016,Emerging,368,89.0,368,0.0,0,17.0,360,77.0,368,46.0,368,3491.0,368,50.0,368,368,1.009011012710756
Laos,2018,Emerging,332,94.0,332,13.0,330,16.0,330,64.0,330,23.0,331,2570.0,331,45.0,331,301,1.4563508553304993
Laos,2024,Emerging,363,146.0,363,61.0,362,9.0,360,145.0,363,16.0,363,4316.0,363,89.0,363,362,1.3659575514710036
Lebanon,2009,Emerging,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,
Lebanon,2013,Emerging,561,377.0,558,173.0,560,116.0,548,246.0,561,19.0,529,9836.0,543,248.0,543,483,1.2289752608730018
Lebanon,2019,Emerging,532,312.0,532,43.0,99,72.0,532,62.0,532,7.0,530,6552.0,530,163.0,530,515,1.037670156029738
Malaysia,2015,Upper_mid,1000,513.0,993,0.0,0,284.0,936,100.0,983,181.0,1000,19895.0,975,431.0,975,953,1.5918632040724794
Malaysia,2019,Upper_mid,1221,774.0,1219,164.0,1195,418.0,1177,322.0,1214,183.0,1189,25440.0,1189,452.0,1189,1174,1.2476810917822738
Malaysia,2024,Upper_mid,979,595.0,979,101.0,975,174.0,962,186.0,979,104.0,974,9360.0,975,197.0,975,957,1.2630573037060817
Maldives,2025,Emerging,154,113.0,154,34.0,152,23.0,151,85.0,154,7.0,154,885.0,153,11.0,153,138,1.3774087207210262
Mongolia,2009,Lower_mid_transition,362,142.0,362,0.0,0,58.0,353,0.0,0,26.0,362,2117.0,362,39.0,362,362,1.3318986504155528
Mongolia,2013,Lower_mid_transition,360,178.0,360,0.0,0,48.0,354,94.0,359,21.0,360,1412.0,358,29.0,358,324,0.9804593008633378
Mongolia,2019,Lower_mid_transition,360,151.0,359,55.0,163,43.0,359,182.0,360,15.0,360,1501.0,360,29.0,360,358,1.2741510330577053
Myanmar,2014,Emerging,632,86.0,628,0.0,0,12.0,624,171.0,626,24.0,632,6555.0,632,73.0,632,540,1.2726204790770865
Myanmar,2016,Emerging,607,100.0,606,12.0,607,31.0,596,109.0,607,27.0,607,4920.0,607,58.0,607,595,1.0957906069803685
Nepal,2023,Emerging,582,358.0,582,8.0,582,65.0,581,107.0,582,16.0,582,7274.0,582,170.0,582,580,1.4602974987178896
Oman,2026,Advanced_resource,299,159.0,299,38.0,297,59.0,287,51.0,298,46.0,297,1903.0,288,43.0,288,236,1.4730875187199683
Pakistan,2013,Lower_mid_transition,1247,506.0,1235,258.0,1210,397.0,1157,361.0,1212,38.0,1208,12973.0,1148,219.0,1148,577,2.2076206652680543
Pakistan,2022,Lower_mid_transition,1300,744.0,1298,15.0,1284,324.0,1259,44.0,1300,18.0,1300,13063.0,1299,208.0,1299,1300,1.180819808381677
PapuaNewGuinea,2015,SIDS_small,65,37.0,65,0.0,0,13.0,63,39.0,65,45.0,65,66.0,65,5.0,65,64,1.110325826531565
PapuaNewGuinea,2024,SIDS_small,145,123.0,144,31.0,143,51.0,125,60.0,144,56.0,140,570.0,136,19.0,136,93,1.499769743837623
Philippines,2023,Lower_mid_transition,1002,745.0,997,137.0,980,131.0,962,175.0,988,115.0,997,8097.0,998,122.0,998,966,1.2192427653769216
Qatar,2025,Advanced_resource,480,304.0,480,3.0,480,45.0,479,32.0,480,93.0,480,1115.0,480,33.0,480,480,0.3256368829082264
Samoa,2009,SIDS_small,109,35.0,108,0.0,0,31.0,99,0.0,0,23.0,105,929.0,108,29.0,108,77,1.709446577836989
Samoa,2023,SIDS_small,157,98.0,157,19.0,157,10.0,155,70.0,155,13.0,157,738.0,157,27.0,157,151,1.3410500295397703
SaudiArabia,2025,Advanced_resource,1002,303.0,1002,17.0,1002,84.0,1000,121.0,1002,95.0,1002,2749.0,1002,112.0,1002,1002,0.4897274302610936
Singapore,2023,Advanced_innovation,623,412.0,623,47.0,623,144.0,618,116.0,623,196.0,623,4450.0,623,111.0,623,623,1.083198208471312
SolomonIslands,2015,SIDS_small,151,38.0,150,0.0,0,9.0,141,63.0,150,70.0,150,1605.0,143,27.0,143,151,1.1330583332057038
SolomonIslands,2025,SIDS_small,150,80.0,150,17.0,150,19.0,140,51.0,150,30.0,150,720.0,150,14.0,150,114,1.2946971012071316
SriLanka,2011,Emerging,610,189.0,610,273.0,601,98.0,604,189.0,609,30.0,606,8618.0,609,110.0,609,557,1.410902881802966
SriLanka,2025,Emerging,607,296.0,607,25.0,607,104.0,592,46.0,606,11.0,606,9794.0,607,129.0,607,572,1.0187188381242924
Taiwan,2024,Advanced_innovation,612,532.0,612,394.0,611,332.0,600,471.0,611,63.0,607,19649.0,608,377.0,608,594,0.9982085182909651
Tajikistan,2013,Emerging,359,134.0,357,0.0,0,66.0,344,59.0,359,22.0,352,2284.0,348,48.0,348,252,1.617868081944801
Tajikistan,2019,Emerging,352,117.0,349,26.0,83,15.0,329,75.0,342,28.0,338,2546.0,340,45.0,340,260,1.5040671979267168
Tajikistan,2024,Emerging,364,96.0,363,26.0,361,36.0,357,52.0,364,22.0,364,1065.0,364,23.0,364,328,1.3371418370305557
Thailand,2016,Upper_mid,1000,510.0,978,0.0,0,242.0,946,104.0,926,74.0,971,12499.0,1000,230.0,1000,960,1.5683683687063978
Thailand,2025,Upper_mid,813,502.0,811,70.0,807,206.0,783,193.0,811,51.0,813,7514.0,812,141.0,812,806,1.3963921935434618
TimorLeste,2009,SIDS_small,150,18.0,150,0.0,0,3.0,148,0.0,0,25.0,150,115.0,147,3.0,147,113,2.2918174620109335
TimorLeste,2015,SIDS_small,126,17.0,126,1.0,1,6.0,124,51.0,126,3.0,126,3850.0,126,47.0,126,124,1.0020604225015395
TimorLeste,2021,SIDS_small,238,79.0,238,11.0,238,2.0,233,7.0,237,23.0,238,215.0,237,5.0,237,208,1.7751111537670337
Tonga,2009,SIDS_small,150,19.0,150,0.0,0,21.0,129,0.0,0,26.0,150,684.0,150,22.0,150,147,1.1680210618286737
Tonga,2024,SIDS_small,150,95.0,150,1.0,150,3.0,150,25.0,150,28.0,150,665.0,150,14.0,150,150,1.277019807628105
Turkmenistan,2024,Emerging,311,139.0,311,39.0,308,36.0,304,99.0,308,0.0,311,2277.0,310,49.0,310,261,1.2247470014358541
Uzbekistan,2013,Emerging,390,128.0,389,0.0,0,47.0,386,19.0,390,50.0,389,1503.0,390,36.0,390,365,1.533922899681491
Uzbekistan,2019,Emerging,1239,370.0,1227,93.0,193,211.0,1219,365.0,1233,115.0,1234,10366.0,1231,209.0,1231,1096,1.6825987919243013
Uzbekistan,2024,Emerging,1008,341.0,989,36.0,989,78.0,959,168.0,978,43.0,991,5063.0,996,99.0,996,900,2.3536916265052654
Vanuatu,2009,SIDS_small,128,30.0,128,0.0,0,34.0,125,0.0,0,45.0,128,326.0,127,6.0,127,103,1.2596106671964526
Vanuatu,2023,SIDS_small,111,73.0,110,8.0,111,3.0,102,39.0,109,27.0,107,601.0,100,16.0,100,93,1.5208190139235565
Vietnam,2009,Lower_mid_transition,1053,453.0,1053,0.0,0,240.0,1036,0.0,0,141.0,1050,24368.0,1049,389.0,1049,1001,1.3062468998853942
Vietnam,2015,Lower_mid_transition,996,480.0,990,0.0,0,174.0,978,304.0,988,82.0,995,17708.0,990,288.0,990,975,1.4570430794923435
Vietnam,2023,Lower_mid_transition,1028,509.0,1028,62.0,1019,186.0,999,114.0,1022,125.0,1021,16509.0,1024,244.0,1024,1025,1.471318328218436
Yemen,2010,Emerging,477,133.0,477,0.0,0,67.0,471,0.0,0,20.0,472,1595.0,476,43.0,476,324,1.7281579106285048
Yemen,2013,Emerging,353,144.0,352,122.0,351,51.0,348,144.0,353,15.0,349,1854.0,350,47.0,350,276,2.0662841854305274
