model,N,b1,p1,b2,p2,TP_pct,p_LM,r2_within
"M2 (FSTS + FSTS^2, FE)",80814,1.1890099229798894,5.1430803837959616e-08,-1.3989584518728315,9.975321761945821e-07,51.45055821847142,1.0985141197245882e-06,0.008169503978878168
"M5 (+ controls, FE)",78874,0.5003227380918187,0.0001316309738816912,-0.7230347271041524,0.00014218486263706254,43.553106605561396,7.058257156906464e-05,0.04687479973094355
Advanced_innovation,5581,0.6977060234168543,0.16564777856908308,-0.5038876846614628,0.31286498623443726,79.12224444604976,0.3037246536303552,0.05801235299253671
Advanced_resource,2075,0.8536039643720273,0.045074247599276696,-0.7297959852758081,0.08188525055544082,62.04134845187755,0.08067019267414302,0.08636638180225709
Upper_mid,12055,0.168035480308701,0.4192101419481822,-0.18874299677185521,0.4793430587173917,55.01681636898128,0.2625433915838393,0.044859489679783926
Lower_mid_transition,42094,0.7088086794876566,2.3491135443531874e-05,-1.0120313461308958,0.0005092105505060118,43.034729031811324,1.241282402322615e-06,0.056504532927920015
Emerging,15251,0.21474536580853565,0.4595275198984825,-0.45337613627524725,0.2228388803803394,34.56876012943674,0.19069704858766479,0.02807832307017122
SIDS_small (linear FIP),1818,-0.098223525611192,0.3291303555898071,,,,,
SIDS_small (quad),1818,-0.7276543379563362,0.009589058586484622,0.8704325784499566,0.01322435580247272,,0.9997937071680713,0.06726653246811565
