country,year,region,icrv_group,icrv_label,firm_id,ln_labor_prod,n3_sales_raw,l1_workers_raw,fsts,exporter,fsts_pct,dai_website,dai_epay,dai_epay_pct,dai_z,tci_cert,tci_foreign_tech,tci_z,mgr_experience,mgr_female,female_owner,foreign_own_pct,firm_age,size_strata,ln_size,isic_sector,legal_status,wstrict,wmedian
China,2024,East Asia,3,Upper_mid,1511884,11.289781913656018,400000.0,5.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,8.0,0.0,0.0,,3.0,14.0,1.6094379124341003,1,2,544.2341918945312,9527.3515625
China,2024,East Asia,3,Upper_mid,1511885,,,30.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,5.0,0.0,1.0,,2.0,14.0,3.4011973816621555,2,2,736.1618041992188,7126.72119140625
China,2024,East Asia,3,Upper_mid,1511886,,,6.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,,0.0,-0.23846222614402734,5.0,0.0,1.0,,1.0,10.0,1.791759469228055,1,2,812.8125,10803.466796875
China,2024,East Asia,3,Upper_mid,1511887,,,15.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,6.0,0.0,0.0,,1.0,1.0,2.70805020110221,1,2,324.9215393066406,3764.900634765625
China,2024,East Asia,3,Upper_mid,1511888,,,5.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,15.0,0.0,0.0,,1.0,12.0,1.6094379124341003,1,4,519.7645263671875,9121.7626953125
China,2024,East Asia,3,Upper_mid,1511889,,,13.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,,0.0,-0.23846222614402734,20.0,0.0,0.0,,7.0,12.0,2.5649493574615367,1,5,519.7645263671875,9121.7626953125
China,2024,East Asia,3,Upper_mid,1511890,11.002099841204238,300000.0,5.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,20.0,0.0,0.0,,11.0,1.0,1.6094379124341003,1,3,324.9215393066406,3764.900634765625
China,2024,East Asia,3,Upper_mid,1511891,,,35.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,,0.0,-0.23846222614402734,,0.0,1.0,,2.0,14.0,3.5553480614894135,3,2,62.277252197265625,669.5471801757812
China,2024,East Asia,3,Upper_mid,1511892,9.210340371976184,100000.0,10.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,5.0,0.0,0.0,,8.0,13.0,2.302585092994046,1,2,468.40753173828125,10216.693359375
China,2024,East Asia,3,Upper_mid,1511893,,,5.0,0.0,0,0.0,0.0,1.0,20.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,13.0,0.0,0.0,,12.0,10.0,1.6094379124341003,1,3,812.8125,10803.466796875
China,2024,East Asia,3,Upper_mid,1511894,,,5.0,0.0,0,0.0,0.0,1.0,85.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,10.0,0.0,0.0,,7.0,10.0,1.6094379124341003,1,3,812.8125,10803.466796875
China,2024,East Asia,3,Upper_mid,1511895,,,5.0,0.0,0,0.0,0.0,1.0,50.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,3.0,0.0,0.0,,1.0,14.0,1.6094379124341003,1,3,544.2341918945312,9527.3515625
China,2024,East Asia,3,Upper_mid,1511896,,,5.0,0.0,0,0.0,1.0,1.0,80.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,,0.0,0.0,,3.0,10.0,1.6094379124341003,2,2,315.5999755859375,2319.742919921875
China,2024,East Asia,3,Upper_mid,1511897,,,12.0,0.0,0,0.0,0.0,1.0,90.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,10.0,1.0,1.0,,5.0,14.0,2.4849066497880004,1,2,544.2341918945312,9527.3515625
China,2024,East Asia,3,Upper_mid,1511898,,,6.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,8.0,0.0,1.0,,6.0,12.0,1.791759469228055,1,2,519.7645263671875,9121.7626953125
China,2024,East Asia,3,Upper_mid,1511899,12.034222388603515,16000000.0,95.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,1.0,0.0,0.5189468355689744,30.0,0.0,1.0,,22.0,9.0,4.553876891600541,3,2,120.89320373535156,788.864501953125
China,2024,East Asia,3,Upper_mid,1511900,11.379394072345706,7000000.0,80.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,1.0,0.0,0.5189468355689744,6.0,0.0,1.0,,6.0,2.0,4.382026634673881,3,2,5.205535411834717,42.0224609375
China,2024,East Asia,3,Upper_mid,1511901,12.275065517017126,1500000.0,7.0,0.0,0,0.0,0.0,1.0,95.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,22.0,0.0,0.0,,5.0,13.0,1.9459101490553132,1,2,468.40753173828125,10216.693359375
China,2024,East Asia,3,Upper_mid,1511902,,,110.0,0.0,0,0.0,1.0,1.0,40.0,0.6684759527978941,0.0,1.0,1.7042418005407087,15.0,0.0,0.0,,2.0,10.0,4.700480365792417,1,2,812.8125,10803.466796875
China,2024,East Asia,3,Upper_mid,1511903,,,100.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,,0.0,1.0,,1.0,10.0,4.605170185988092,3,2,26.376331329345703,215.30421447753906
