country,year,icrv_group,icrv_label,cy_fe,ln_labor_prod,ln_size,fsts,exporter,tci_full_raw,tci_thin_raw,tci_z,tci_thin_z,dai_rich_raw,dai_thin_raw,dai_z,dai_thin_z,mgr_experience,mgr_female,firm_age,foreign_own_pct,female_owner
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,18.25979951839628,5.777652323222656,0.08,1.0,0.5,0.5,0.61282946543714,0.6352761841582654,1.0,0.5,0.8519895800978436,0.30546407762734235,3,,1,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,19.55319458429616,5.66988092298052,0.0,0.0,0.5,0.5,0.61282946543714,0.6352761841582654,1.0,0.5,0.8519895800978436,0.30546407762734235,3,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,17.609750527736036,3.80666248977032,0.8,1.0,0.0,0.0,-0.9345551682258427,-0.7506042420676701,1.0,0.5,0.8519895800978436,0.30546407762734235,2,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,21.55951386114703,4.174387269895637,1.0,1.0,0.0,0.0,-0.9345551682258427,-0.7506042420676701,1.0,0.5,0.8519895800978436,0.30546407762734235,2,,1,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,18.280918801577208,3.1354942159291497,0.0,0.0,0.0,0.0,-0.9345551682258427,-0.7506042420676701,0.0,0.0,-1.6156864037525376,-1.0151374180969084,1,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,20.184269336213724,4.0943445622221,0.0,0.0,0.0,0.0,-0.9345551682258427,-0.7506042420676701,0.0,0.0,-1.6156864037525376,-1.0151374180969084,2,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,19.71166492526793,4.007333185232471,0.0,0.0,0.0,0.0,-0.9345551682258427,-0.7506042420676701,1.0,0.5,0.8519895800978436,0.30546407762734235,2,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,17.72753356339242,3.688879454113936,0.9,1.0,0.5,0.5,0.61282946543714,0.6352761841582654,1.0,1.0,0.8519895800978436,1.6260655733515932,1,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,18.420680743952367,4.605170185988092,0.7,1.0,0.0,0.0,-0.9345551682258427,-0.7506042420676701,0.0,0.0,-1.6156864037525376,-1.0151374180969084,3,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,17.899804784332872,5.298317366548036,1.0,1.0,0.0,0.0,-0.9345551682258427,-0.7506042420676701,0.0,0.0,-1.6156864037525376,-1.0151374180969084,3,,2,100.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,18.30414692769641,7.600902459542082,0.9,1.0,1.0,1.0,2.1602140991001226,2.0211566103842005,1.0,1.0,0.8519895800978436,1.6260655733515932,3,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,18.63579212356931,8.517193191416238,0.84,1.0,1.0,1.0,2.1602140991001226,2.0211566103842005,1.0,1.0,0.8519895800978436,1.6260655733515932,3,,1,0.0,
